N,P,Size
1,0.5,104
2,0.5,520
3,0.5,1120
4,0.5,1496
5,0.5,1632
6,0.5,2168
7,0.5,6072
8,0.5,2648
9,0.5,7568
10,0.5,3648
11,0.5,6704
12,0.5,7448
13,0.5,7464
14,0.5,12824
15,0.5,8288
16,0.5,15064
17,0.5,8632
18,0.5,8496
19,0.5,10584
20,0.5,11576
21,0.5,11976
22,0.5,7520
23,0.5,9464
24,0.5,12976
25,0.5,11768
26,0.5,16872
27,0.5,17528
28,0.5,21216
29,0.5,17032
30,0.5,13592
31,0.5,16776
32,0.5,20240
33,0.5,13360
34,0.5,17424
35,0.5,16552
36,0.5,19488
37,0.5,15248
38,0.5,17064
39,0.5,19240
40,0.5,33256
41,0.5,22680
42,0.5,22592
43,0.5,29616
44,0.5,26376
45,0.5,25448
46,0.5,27296
47,0.5,24800
48,0.5,36992
49,0.5,25840
50,0.5,18936
51,0.5,26640
52,0.5,28648
53,0.5,27008
54,0.5,25680
55,0.5,24392
56,0.5,25424
57,0.5,33840
58,0.5,26936
59,0.5,49960
60,0.5,26152
61,0.5,39088
62,0.5,30720
63,0.5,36376
64,0.5,33224
65,0.5,35984
66,0.5,36648
67,0.5,35800
68,0.5,38000
69,0.5,42608
70,0.5,39656
71,0.5,31080
72,0.5,26760
73,0.5,36864
74,0.5,45112
75,0.5,34224
76,0.5,40600
77,0.5,44952
78,0.5,35000
79,0.5,43856
80,0.5,43584
81,0.5,52912
82,0.5,55912
83,0.5,34984
84,0.5,48928
85,0.5,51584
86,0.5,55520
87,0.5,40984
88,0.5,67392
89,0.5,47112
90,0.5,41624
91,0.5,62568
92,0.5,51120
93,0.5,39552
94,0.5,51576
95,0.5,51816
96,0.5,49096
97,0.5,47088
98,0.5,48520
99,0.5,54672
100,0.5,49040
101,0.5,47752
102,0.5,45288
103,0.5,59936
104,0.5,57216
105,0.5,54776
106,0.5,58808
107,0.5,43728
108,0.5,52376
109,0.5,63976
110,0.5,50056
111,0.5,52144
112,0.5,58704
113,0.5,50256
114,0.5,67120
115,0.5,69344
116,0.5,55200
117,0.5,71432
118,0.5,60384
119,0.5,62056
120,0.5,67336
121,0.5,65632
122,0.5,65368
123,0.5,70648
124,0.5,66992
125,0.5,72064
126,0.5,86024
127,0.5,69576
128,0.5,75664
129,0.5,60808
130,0.5,70352
131,0.5,71896
132,0.5,65824
133,0.5,79552
134,0.5,62600
135,0.5,85760
136,0.5,69400
137,0.5,70064
138,0.5,77488
139,0.5,78448
140,0.5,85304
141,0.5,73608
142,0.5,79368
143,0.5,82560
144,0.5,85680
145,0.5,83472
146,0.5,80752
147,0.5,87584
148,0.5,72672
149,0.5,77296
150,0.5,81608
151,0.5,89416
152,0.5,84696
153,0.5,79008
154,0.5,83608
155,0.5,84768
156,0.5,73200
157,0.5,78368
158,0.5,98632
159,0.5,78512
160,0.5,91888
161,0.5,91608
162,0.5,72560
163,0.5,95104
164,0.5,80104
165,0.5,99952
166,0.5,85184
167,0.5,102912
168,0.5,100288
169,0.5,88208
170,0.5,87776
171,0.5,95616
172,0.5,91840
173,0.5,84000
174,0.5,96840
175,0.5,99432
176,0.5,82456
177,0.5,80824
178,0.5,88792
179,0.5,96088
180,0.5,91744
181,0.5,92224
182,0.5,85784
183,0.5,106840
184,0.5,109976
185,0.5,109752
186,0.5,125440
187,0.5,92784
188,0.5,93736
189,0.5,92920
190,0.5,89696
191,0.5,91808
192,0.5,99384
193,0.5,104496
194,0.5,104304
195,0.5,106240
196,0.5,115128
197,0.5,110760
198,0.5,100088
199,0.5,109512
200,0.5,98160
201,0.5,110088
202,0.5,98864
203,0.5,111576
204,0.5,119352
205,0.5,115944
206,0.5,135104
207,0.5,97368
208,0.5,100416
209,0.5,119328
210,0.5,117928
211,0.5,115072
212,0.5,121600
213,0.5,104880
214,0.5,108408
215,0.5,105488
216,0.5,118264
217,0.5,103136
218,0.5,122840
219,0.5,112472
220,0.5,105096
221,0.5,135456
222,0.5,109288
223,0.5,128464
224,0.5,138456
225,0.5,128408
226,0.5,120968
227,0.5,129256
228,0.5,134168
229,0.5,129216
230,0.5,130512
231,0.5,127160
232,0.5,124336
233,0.5,136512
234,0.5,109856
235,0.5,134576
236,0.5,125200
237,0.5,137776
238,0.5,131024
239,0.5,128896
240,0.5,119144
241,0.5,134072
242,0.5,153584
243,0.5,136640
244,0.5,133208
245,0.5,122296
246,0.5,135616
247,0.5,135176
248,0.5,144824
249,0.5,132928
250,0.5,144344
251,0.5,126304
252,0.5,141064
253,0.5,138872
254,0.5,132192
255,0.5,157144
256,0.5,142752
257,0.5,136360
258,0.5,138168
259,0.5,122584
260,0.5,125072
261,0.5,134224
262,0.5,128784
263,0.5,134448
264,0.5,135200
265,0.5,135288
266,0.5,147616
267,0.5,132400
268,0.5,143960
269,0.5,142576
270,0.5,130816
271,0.5,135040
272,0.5,144768
273,0.5,154872
274,0.5,154560
275,0.5,145824
276,0.5,137160
277,0.5,143480
278,0.5,149280
279,0.5,153704
280,0.5,147024
281,0.5,160120
282,0.5,135152
283,0.5,159712
284,0.5,146752
285,0.5,145568
286,0.5,158768
287,0.5,155088
288,0.5,175224
289,0.5,160912
290,0.5,147768
291,0.5,145896
292,0.5,172744
293,0.5,148376
294,0.5,168728
295,0.5,135576
296,0.5,150592
297,0.5,133440
298,0.5,151832
299,0.5,159072
300,0.5,160120
301,0.5,161224
302,0.5,159784
303,0.5,157792
304,0.5,176832
305,0.5,167752
306,0.5,173328
307,0.5,160824
