N,P,X,Cmap,ExecEnv
100,0.0,1,231696,126192
100,0.0,2,193432,138848
100,0.0,3,317264,188768
100,0.0,4,169448,88432
100,0.0,5,185784,122880
200,0.0,1,843480,316936
200,0.0,2,783384,273672
200,0.0,3,899272,276992
200,0.0,4,886616,296960
200,0.0,5,805296,294088
300,0.0,1,1660216,371080
300,0.0,2,1565488,349696
300,0.0,3,1795624,386528
300,0.0,4,2199024,474768
300,0.0,5,1680640,401264
400,0.0,1,3087120,509216
400,0.0,2,3189416,555224
400,0.0,3,3115352,524744
400,0.0,4,2810248,512152
400,0.0,5,2620776,445976
100,0.1,1,60600,116328
100,0.1,2,135368,104872
100,0.1,3,106296,131624
100,0.1,4,102584,153288
100,0.1,5,78232,135856
200,0.1,1,227208,289144
200,0.1,2,201568,217296
200,0.1,3,442616,231368
200,0.1,4,227248,225160
200,0.1,5,301976,287216
300,0.1,1,460408,397544
300,0.1,2,447544,402640
300,0.1,3,535504,442000
300,0.1,4,460944,431448
300,0.1,5,338672,376912
400,0.1,1,556648,526656
400,0.1,2,719656,537704
400,0.1,3,720456,585872
400,0.1,4,560872,498256
400,0.1,5,654968,542040
100,0.2,1,128752,142216
100,0.2,2,95832,128208
100,0.2,3,102208,145752
100,0.2,4,86944,110896
100,0.2,5,67176,102800
200,0.2,1,247968,278904
200,0.2,2,227232,255776
200,0.2,3,184520,236088
200,0.2,4,168576,249920
200,0.2,5,156856,245424
300,0.2,1,521136,384136
300,0.2,2,315920,409592
300,0.2,3,269712,343952
300,0.2,4,290400,379792
300,0.2,5,287688,446024
400,0.2,1,396568,550448
400,0.2,2,409272,529208
400,0.2,3,417528,554152
400,0.2,4,546800,562768
400,0.2,5,488368,537120
100,0.3,1,86136,178568
100,0.3,2,92872,131704
100,0.3,3,84512,139704
100,0.3,4,72952,90704
100,0.3,5,91560,177792
200,0.3,1,235392,278024
200,0.3,2,193064,278088
200,0.3,3,154752,304976
200,0.3,4,290856,287608
200,0.3,5,154816,276760
300,0.3,1,332000,407104
300,0.3,2,414384,401912
300,0.3,3,278576,387936
300,0.3,4,290016,425400
300,0.3,5,358352,373896
400,0.3,1,382256,572312
400,0.3,2,402904,575672
400,0.3,3,478208,593600
400,0.3,4,335216,488744
400,0.3,5,307496,507448
100,0.4,1,79072,120320
100,0.4,2,74008,136040
100,0.4,3,85240,141448
100,0.4,4,85368,105440
100,0.4,5,63288,134160
200,0.4,1,159744,265152
200,0.4,2,177256,239352
