N,P,X,Cmap,ExecEnv
100,0.0,1,275552,301240
100,0.0,2,275552,301240
100,0.0,3,275552,301240
100,0.0,4,275552,301240
100,0.0,5,275552,301240
200,0.0,1,767448,453464
200,0.0,2,767448,453464
200,0.0,3,767448,453464
200,0.0,4,767448,453464
200,0.0,5,767448,453464
100,0.1,1,98280,262472
100,0.1,2,98280,262472
100,0.1,3,98280,262472
100,0.1,4,98280,262472
100,0.1,5,98280,262472
200,0.1,1,233712,583464
200,0.1,2,233712,583464
200,0.1,3,233712,583464
200,0.1,4,233712,583464
200,0.1,5,233712,583464
100,0.2,1,112976,186760
100,0.2,2,112976,186760
100,0.2,3,112976,186760
100,0.2,4,112976,186760
100,0.2,5,112976,186760
200,0.2,1,271400,511864
200,0.2,2,271400,511864
200,0.2,3,271400,511864
200,0.2,4,271400,511864
200,0.2,5,271400,511864
100,0.3,1,74096,227608
100,0.3,2,74096,227608
100,0.3,3,74096,227608
100,0.3,4,74096,227608
100,0.3,5,74096,227608
200,0.3,1,175504,464808
200,0.3,2,175504,464808
200,0.3,3,175504,464808
200,0.3,4,175504,464808
200,0.3,5,175504,464808
100,0.4,1,86984,221752
100,0.4,2,86984,221752
100,0.4,3,86984,221752
100,0.4,4,86984,221752
100,0.4,5,86984,221752
200,0.4,1,194120,513544
200,0.4,2,194120,513544
200,0.4,3,194120,513544
200,0.4,4,194120,513544
200,0.4,5,194120,513544
100,0.5,1,61904,234104
100,0.5,2,61904,234104
100,0.5,3,61904,234104
100,0.5,4,61904,234104
100,0.5,5,61904,234104
200,0.5,1,154784,541976
200,0.5,2,154784,541976
200,0.5,3,154784,541976
200,0.5,4,154784,541976
200,0.5,5,154784,541976
100,0.6,1,69072,245992
100,0.6,2,69072,245992
100,0.6,3,69072,245992
100,0.6,4,69072,245992
100,0.6,5,69072,245992
200,0.6,1,223424,722744
200,0.6,2,223424,722744
200,0.6,3,223424,722744
200,0.6,4,223424,722744
200,0.6,5,223424,722744
100,0.7,1,58936,246952
100,0.7,2,58936,246952
100,0.7,3,58936,246952
100,0.7,4,58936,246952
100,0.7,5,58936,246952
200,0.7,1,128448,519704
200,0.7,2,128448,519704
200,0.7,3,128448,519704
200,0.7,4,128448,519704
200,0.7,5,128448,519704
100,0.8,1,60832,245368
100,0.8,2,60832,245368
100,0.8,3,60832,245368
100,0.8,4,60832,245368
100,0.8,5,60832,245368
200,0.8,1,125264,462584
200,0.8,2,125264,462584
200,0.8,3,125264,462584
200,0.8,4,125264,462584
200,0.8,5,125264,462584
100,0.9,1,60728,294984
100,0.9,2,60728,294984
100,0.9,3,60728,294984
100,0.9,4,60728,294984
100,0.9,5,60728,294984
200,0.9,1,143240,583400
200,0.9,2,143240,583400
200,0.9,3,143240,583400
200,0.9,4,143240,583400
200,0.9,5,143240,583400
100,1.0,1,61360,224472
100,1.0,2,61360,224472
100,1.0,3,61360,224472
100,1.0,4,61360,224472
100,1.0,5,61360,224472
200,1.0,1,134512,527784
200,1.0,2,134512,527784
200,1.0,3,134512,527784
200,1.0,4,134512,527784
200,1.0,5,134512,527784
