N,P,X,Cmap,Parents,Children
1,0.0,1,3976,16,16
1,0.0,2,3960,16,16
1,0.0,3,3992,16,16
1,0.0,4,3992,16,16
1,0.0,5,3992,16,16
2,0.0,1,4328,216,240
2,0.0,2,4288,416,440
2,0.0,3,5840,5632,5672
2,0.0,4,4344,568,592
2,0.0,5,4352,1280,1304
3,0.0,1,4592,936,984
3,0.0,2,6496,5264,5296
3,0.0,3,4552,792,840
3,0.0,4,4600,1192,1240
3,0.0,5,4640,512,560
4,0.0,1,6728,5744,5816
4,0.0,2,4944,1616,1688
4,0.0,3,4800,1216,1288
4,0.0,4,4896,1456,1528
4,0.0,5,4880,2096,2168
5,0.0,1,5128,1264,1360
5,0.0,2,5288,2088,2184
5,0.0,3,5168,2120,2216
5,0.0,4,7560,6288,6384
5,0.0,5,5176,1608,1704
6,0.0,1,5584,2072,2192
6,0.0,2,8976,9344,9464
6,0.0,3,5624,9984,10104
6,0.0,4,7752,6672,6808
6,0.0,5,5600,3120,3240
7,0.0,1,7064,4440,4584
7,0.0,2,6512,11288,11432
7,0.0,3,13864,18288,18432
7,0.0,4,5872,4472,4632
7,0.0,5,7576,6256,6384
8,0.0,1,7136,5048,5216
8,0.0,2,8240,6480,6648
8,0.0,3,8832,7208,7376
8,0.0,4,9264,7048,7216
8,0.0,5,6384,3840,3992
9,0.0,1,10696,13568,13760
9,0.0,2,10776,10856,11048
9,0.0,3,7992,5696,5872
9,0.0,4,6704,3064,3256
9,0.0,5,10488,15800,16008
10,0.0,1,9080,8768,9000
10,0.0,2,11504,10120,10336
10,0.0,3,7168,3904,4120
10,0.0,4,12440,10360,10560
10,0.0,5,14584,16312,16512
11,0.0,1,7344,3968,4208
11,0.0,2,9840,10912,11168
11,0.0,3,11360,9272,9528
11,0.0,4,15592,14872,15112
11,0.0,5,7416,8424,8648
12,0.0,1,13008,12304,12568
12,0.0,2,13024,10984,11264
12,0.0,3,7928,4368,4632
12,0.0,4,14416,15192,15456
12,0.0,5,8840,9200,9464
13,0.0,1,12920,13104,13392
13,0.0,2,15232,13680,13968
13,0.0,3,10864,8944,9232
13,0.0,4,11904,10152,10440
13,0.0,5,9168,10888,11176
14,0.0,1,16144,18664,18976
14,0.0,2,8624,4640,4968
14,0.0,3,10752,11384,11680
14,0.0,4,10648,8720,9048
14,0.0,5,11848,9280,9608
15,0.0,1,25152,27320,27656
15,0.0,2,10416,7096,7432
15,0.0,3,15768,12616,12968
15,0.0,4,11656,12992,13344
15,0.0,5,15688,15248,15600
16,0.0,1,9624,10008,10368
16,0.0,2,15304,12248,12608
16,0.0,3,15504,15824,16168
16,0.0,4,16368,17792,18136
16,0.0,5,16864,16296,16672
17,0.0,1,21224,23432,23816
17,0.0,2,10488,6992,7392
17,0.0,3,20552,15664,16064
17,0.0,4,21944,22408,22808
17,0.0,5,18128,16416,16800
18,0.0,1,18480,17336,17760
18,0.0,2,15360,13712,14136
18,0.0,3,18624,20896,21320
18,0.0,4,25568,27968,28392
18,0.0,5,10888,8280,8688
19,0.0,1,12136,12888,13336
19,0.0,2,20072,16696,17128
19,0.0,3,17424,12104,12536
19,0.0,4,23168,22048,22496
19,0.0,5,24312,24824,25256
20,0.0,1,16336,14616,15072
20,0.0,2,11472,17264,17736
20,0.0,3,26904,28616,29088
20,0.0,4,13384,8784,9256
20,0.0,5,20544,20368,20840
21,0.0,1,31760,24576,25072
21,0.0,2,13760,12968,13448
21,0.0,3,17288,13336,13832
21,0.0,4,17432,13672,14152
21,0.0,5,24240,24136,24632
22,0.0,1,13792,12664,13168
22,0.0,2,17016,21496,22000
22,0.0,3,18672,20192,20712
22,0.0,4,41248,36088,36608
22,0.0,5,19848,16384,16888
23,0.0,1,28096,27672,28200
23,0.0,2,25816,25448,25976
23,0.0,3,17592,11304,11848
23,0.0,4,28928,30288,30832
23,0.0,5,24496,35288,35832
24,0.0,1,27720,28664,29232
24,0.0,2,27752,34192,34760
24,0.0,3,29712,24864,25432
24,0.0,4,30792,22144,22712
24,0.0,5,21512,20288,20856
25,0.0,1,20224,30080,30672
25,0.0,2,32032,21816,22392
25,0.0,3,13712,9160,9736
25,0.0,4,29680,30640,31232
25,0.0,5,26528,18800,19392
26,0.0,1,18192,12976,13592
26,0.0,2,34296,33960,34576
26,0.0,3,23032,20224,20840
26,0.0,4,27176,28128,28728
26,0.0,5,24488,23856,24472
27,0.0,1,27128,18816,19456
27,0.0,2,31272,25528,26152
27,0.0,3,19968,18592,19216
27,0.0,4,18576,14784,15424
27,0.0,5,25472,20544,21184
28,0.0,1,37264,35448,36112
28,0.0,2,30592,23064,23728
28,0.0,3,27824,28688,29336
28,0.0,4,27120,25080,25744
28,0.0,5,53744,38224,38888
29,0.0,1,22832,20296,20968
29,0.0,2,52224,41224,41912
29,0.0,3,30232,35400,36088
29,0.0,4,36808,28152,28840
29,0.0,5,27160,24600,25288
30,0.0,1,21488,17720,18432
30,0.0,2,27592,26152,26864
30,0.0,3,28624,24072,24784
30,0.0,4,44184,37688,38400
30,0.0,5,24768,18504,19200
31,0.0,1,32872,24360,25080
