N,P,X,Cmap,ExecEnv
1,0.0,1,16488,88
1,0.0,2,16488,88
1,0.0,3,16488,88
1,0.0,4,16488,88
1,0.0,5,16488,88
2,0.0,1,33000,400
2,0.0,2,33000,600
2,0.0,3,33000,5832
2,0.0,4,33000,752
2,0.0,5,33000,1464
3,0.0,1,49512,1176
3,0.0,2,49512,5488
3,0.0,3,49512,1032
3,0.0,4,49512,1432
3,0.0,5,49512,752
4,0.0,1,66024,6040
4,0.0,2,66024,1912
4,0.0,3,66024,1512
4,0.0,4,66024,1752
4,0.0,5,66024,2392
5,0.0,1,82536,1616
5,0.0,2,82536,2440
5,0.0,3,82536,2472
5,0.0,4,82536,6640
5,0.0,5,82536,1960
6,0.0,1,99048,2480
6,0.0,2,99048,9752
6,0.0,3,99048,10392
6,0.0,4,99048,7096
6,0.0,5,99048,3528
7,0.0,1,115560,4904
7,0.0,2,115560,11752
7,0.0,3,115560,18752
7,0.0,4,115560,4952
7,0.0,5,115560,6704
8,0.0,1,132072,5568
8,0.0,2,132072,7000
8,0.0,3,132072,7728
8,0.0,4,132072,7568
8,0.0,5,132072,4344
9,0.0,1,148584,14144
9,0.0,2,148584,11432
9,0.0,3,148584,6256
9,0.0,4,148584,3640
9,0.0,5,148584,16392
10,0.0,1,165096,9416
10,0.0,2,165096,10752
10,0.0,3,165096,4536
10,0.0,4,165096,10976
10,0.0,5,165096,16928
11,0.0,1,181608,4656
11,0.0,2,181608,11616
11,0.0,3,181608,9976
11,0.0,4,181608,15560
11,0.0,5,181608,9096
12,0.0,1,198120,13048
12,0.0,2,198120,11744
12,0.0,3,198120,5112
12,0.0,4,198120,15936
12,0.0,5,198120,9944
13,0.0,1,214632,13904
13,0.0,2,214632,14480
13,0.0,3,214632,9744
13,0.0,4,214632,10952
13,0.0,5,214632,11688
14,0.0,1,231144,19520
14,0.0,2,231144,5512
14,0.0,3,231144,12224
14,0.0,4,231144,9592
14,0.0,5,231144,10152
15,0.0,1,247656,28232
15,0.0,2,247656,8008
15,0.0,3,247656,13544
15,0.0,4,247656,13920
15,0.0,5,247656,16176
16,0.0,1,264168,10976
16,0.0,2,264168,13216
16,0.0,3,264168,16776
16,0.0,4,264168,18744
16,0.0,5,264168,17280
17,0.0,1,280680,24456
17,0.0,2,280680,8032
17,0.0,3,280680,16704
17,0.0,4,280680,23448
17,0.0,5,280680,17440
18,0.0,1,297192,18432
18,0.0,2,297192,14808
18,0.0,3,297192,21992
18,0.0,4,297192,29064
18,0.0,5,297192,9360
19,0.0,1,313704,14040
19,0.0,2,313704,17832
19,0.0,3,313704,13240
19,0.0,4,313704,23200
19,0.0,5,313704,25960
20,0.0,1,330216,15808
20,0.0,2,330216,18472
20,0.0,3,330216,29824
20,0.0,4,330216,9992
20,0.0,5,330216,21576
21,0.0,1,346728,25840
21,0.0,2,346728,14216
21,0.0,3,346728,14600
21,0.0,4,346728,14920
21,0.0,5,346728,25400
22,0.0,1,363240,13968
22,0.0,2,363240,22800
22,0.0,3,363240,21512
22,0.0,4,363240,37408
22,0.0,5,363240,17688
23,0.0,1,379752,29032
23,0.0,2,379752,26808
23,0.0,3,379752,12680
23,0.0,4,379752,31664
23,0.0,5,379752,36664
24,0.0,1,396264,30096
24,0.0,2,396264,35624
24,0.0,3,396264,26296
24,0.0,4,396264,23576
24,0.0,5,396264,21720
25,0.0,1,412776,31568
25,0.0,2,412776,23288
25,0.0,3,412776,10632
25,0.0,4,412776,32128
25,0.0,5,412776,20288
26,0.0,1,429288,14520
26,0.0,2,429288,35504
26,0.0,3,429288,21768
26,0.0,4,429288,29656
26,0.0,5,429288,25400
27,0.0,1,445800,20416
27,0.0,2,445800,27112
27,0.0,3,445800,20176
27,0.0,4,445800,16384
27,0.0,5,445800,22144
28,0.0,1,462312,37104
28,0.0,2,462312,24720
28,0.0,3,462312,30328
28,0.0,4,462312,26736
28,0.0,5,462312,39880
29,0.0,1,478824,21992
29,0.0,2,478824,42936
29,0.0,3,478824,37112
29,0.0,4,478824,29864
29,0.0,5,478824,26312
30,0.0,1,495336,19488
30,0.0,2,495336,27920
30,0.0,3,495336,25840
30,0.0,4,495336,39456
30,0.0,5,495336,20256
31,0.0,1,511848,26168
31,0.0,2,511848,33696
31,0.0,3,511848,38944
31,0.0,4,511848,21336
31,0.0,5,511848,40768
32,0.0,1,528360,31816
32,0.0,2,528360,34984
32,0.0,3,528360,32304
32,0.0,4,528360,32216
32,0.0,5,528360,28272
33,0.0,1,544872,30048
33,0.0,2,544872,38160
33,0.0,3,544872,40840
33,0.0,4,544872,26176
33,0.0,5,544872,26304
34,0.0,1,561384,38960
34,0.0,2,561384,43448
34,0.0,3,561384,25288
34,0.0,4,561384,47040
34,0.0,5,561384,45152
35,0.0,1,577896,37832
35,0.0,2,577896,37984
35,0.0,3,577896,31384
35,0.0,4,577896,35280
35,0.0,5,577896,28472
36,0.0,1,594408,24944
36,0.0,2,594408,21808
36,0.0,3,594408,38232
36,0.0,4,594408,32016
36,0.0,5,594408,41952
37,0.0,1,610920,24808
37,0.0,2,610920,55264
37,0.0,3,610920,54392
37,0.0,4,610920,26512
37,0.0,5,610920,43608
38,0.0,1,627432,25552
38,0.0,2,627432,47088
38,0.0,3,627432,24136
38,0.0,4,627432,32824
38,0.0,5,627432,27000
39,0.0,1,643944,38504
39,0.0,2,643944,47360
39,0.0,3,643944,29272
39,0.0,4,643944,45552
39,0.0,5,643944,42848
40,0.0,1,660456,31400
40,0.0,2,660456,41672
40,0.0,3,660456,30376
40,0.0,4,660456,65168
40,0.0,5,660456,36304
41,0.0,1,676968,51368
41,0.0,2,676968,35288
41,0.0,3,676968,24208
41,0.0,4,676968,37648
41,0.0,5,676968,51592
42,0.0,1,693480,47560
42,0.0,2,693480,33040
42,0.0,3,693480,44568
42,0.0,4,693480,31112
42,0.0,5,693480,35960
43,0.0,1,709992,36704
43,0.0,2,709992,38296
43,0.0,3,709992,46984
43,0.0,4,709992,46096
43,0.0,5,709992,28208
44,0.0,1,726504,33088
44,0.0,2,726504,43584
44,0.0,3,726504,39256
44,0.0,4,726504,47096
44,0.0,5,726504,48064
45,0.0,1,743016,37312
45,0.0,2,743016,30688
45,0.0,3,743016,51760
45,0.0,4,743016,44944
45,0.0,5,743016,40864
46,0.0,1,759528,27728
46,0.0,2,759528,49736
46,0.0,3,759528,46736
46,0.0,4,759528,36504
46,0.0,5,759528,46640
47,0.0,1,776040,32272
47,0.0,2,776040,61616
47,0.0,3,776040,49776
47,0.0,4,776040,51696
47,0.0,5,776040,50624
48,0.0,1,792552,56200
48,0.0,2,792552,40328
48,0.0,3,792552,55216
48,0.0,4,792552,34624
48,0.0,5,792552,71592
49,0.0,1,809064,45048
49,0.0,2,809064,60344
49,0.0,3,809064,60608
49,0.0,4,809064,55448
49,0.0,5,809064,38824
50,0.0,1,825576,54896
50,0.0,2,825576,41688
50,0.0,3,825576,57744
50,0.0,4,825576,46368
50,0.0,5,825576,58744
51,0.0,1,842088,45176
51,0.0,2,842088,34208
51,0.0,3,842088,45472
51,0.0,4,842088,59584
51,0.0,5,842088,67336
52,0.0,1,858600,50176
52,0.0,2,858600,49920
52,0.0,3,858600,56912
52,0.0,4,858600,51736
52,0.0,5,858600,46664
53,0.0,1,875112,35248
53,0.0,2,875112,49240
53,0.0,3,875112,69880
53,0.0,4,875112,61608
53,0.0,5,875112,55384
54,0.0,1,891624,33480
54,0.0,2,891624,53112
54,0.0,3,891624,48088
54,0.0,4,891624,77520
54,0.0,5,891624,67784
55,0.0,1,908136,53480
55,0.0,2,908136,64368
55,0.0,3,908136,54552
55,0.0,4,908136,56848
55,0.0,5,908136,57616
56,0.0,1,924648,46904
56,0.0,2,924648,58088
56,0.0,3,924648,57856
56,0.0,4,924648,46648
56,0.0,5,924648,53288
57,0.0,1,941160,66344
57,0.0,2,941160,66784
57,0.0,3,941160,43552
57,0.0,4,941160,49888
57,0.0,5,941160,52512
58,0.0,1,957672,68736
58,0.0,2,957672,48624
58,0.0,3,957672,65024
58,0.0,4,957672,55568
58,0.0,5,957672,85536
59,0.0,1,974184,63184
59,0.0,2,974184,60480
59,0.0,3,974184,36992
59,0.0,4,974184,37832
59,0.0,5,974184,73296
60,0.0,1,990696,56880
60,0.0,2,990696,35056
60,0.0,3,990696,52160
60,0.0,4,990696,63760
60,0.0,5,990696,51400
61,0.0,1,1007208,86248
61,0.0,2,1007208,37504
61,0.0,3,1007208,57560
61,0.0,4,1007208,60592
61,0.0,5,1007208,71120
