N,P,X,Cmap,ExecEnv
1,0.0,1,16504,88
1,0.0,2,16504,88
1,0.0,3,16504,88
1,0.0,4,16504,88
1,0.0,5,16504,88
2,0.0,1,33016,1152
2,0.0,2,33016,3384
2,0.0,3,33016,968
2,0.0,4,33016,888
2,0.0,5,33016,600
3,0.0,1,49528,1808
3,0.0,2,49528,1480
3,0.0,3,49528,2360
3,0.0,4,49528,2136
3,0.0,5,49528,1464
4,0.0,1,66040,4872
4,0.0,2,66040,1936
4,0.0,3,66040,2800
4,0.0,4,66040,4016
4,0.0,5,66040,2944
5,0.0,1,82552,3336
5,0.0,2,82552,3392
5,0.0,3,82552,3800
5,0.0,4,82552,2296
5,0.0,5,82552,2440
6,0.0,1,99064,5152
6,0.0,2,99064,5968
6,0.0,3,99064,5592
6,0.0,4,99064,8808
6,0.0,5,99064,3272
7,0.0,1,115576,6320
7,0.0,2,115576,5592
7,0.0,3,115576,6096
7,0.0,4,115576,6240
7,0.0,5,115576,5008
8,0.0,1,132088,6712
8,0.0,2,132088,6888
8,0.0,3,132088,7744
8,0.0,4,132088,6920
8,0.0,5,132088,6792
9,0.0,1,148600,4992
9,0.0,2,148600,7640
9,0.0,3,148600,6448
9,0.0,4,148600,5960
9,0.0,5,148600,9344
10,0.0,1,165112,11160
10,0.0,2,165112,5608
10,0.0,3,165112,7248
10,0.0,4,165112,7736
10,0.0,5,165112,10888
11,0.0,1,181624,7320
11,0.0,2,181624,10840
11,0.0,3,181624,6320
11,0.0,4,181624,11040
11,0.0,5,181624,5912
12,0.0,1,198136,7992
12,0.0,2,198136,9248
12,0.0,3,198136,8224
12,0.0,4,198136,11728
12,0.0,5,198136,10112
13,0.0,1,214648,9576
13,0.0,2,214648,8344
13,0.0,3,214648,13848
13,0.0,4,214648,8000
13,0.0,5,214648,10960
14,0.0,1,231160,9520
14,0.0,2,231160,11672
14,0.0,3,231160,12440
14,0.0,4,231160,13320
14,0.0,5,231160,7072
15,0.0,1,247672,15768
15,0.0,2,247672,11568
15,0.0,3,247672,14936
15,0.0,4,247672,10272
15,0.0,5,247672,12472
16,0.0,1,264184,10064
16,0.0,2,264184,12384
16,0.0,3,264184,11648
16,0.0,4,264184,14976
16,0.0,5,264184,12760
17,0.0,1,280696,14808
17,0.0,2,280696,11728
17,0.0,3,280696,13104
17,0.0,4,280696,12072
17,0.0,5,280696,15184
18,0.0,1,297208,13320
18,0.0,2,297208,12840
18,0.0,3,297208,10088
18,0.0,4,297208,13360
18,0.0,5,297208,13848
19,0.0,1,313720,9928
19,0.0,2,313720,12784
19,0.0,3,313720,13696
19,0.0,4,313720,12272
19,0.0,5,313720,16480
20,0.0,1,330232,15416
20,0.0,2,330232,18800
20,0.0,3,330232,18112
20,0.0,4,330232,15712
20,0.0,5,330232,12768
21,0.0,1,346744,16960
21,0.0,2,346744,12768
21,0.0,3,346744,12944
21,0.0,4,346744,18416
21,0.0,5,346744,19328
22,0.0,1,363256,20840
22,0.0,2,363256,16800
22,0.0,3,363256,18144
22,0.0,4,363256,11904
22,0.0,5,363256,20656
23,0.0,1,379768,20032
23,0.0,2,379768,18456
23,0.0,3,379768,18224
23,0.0,4,379768,18208
23,0.0,5,379768,18696
24,0.0,1,396280,21168
24,0.0,2,396280,17024
24,0.0,3,396280,14720
24,0.0,4,396280,18840
24,0.0,5,396280,14616
25,0.0,1,412792,14592
25,0.0,2,412792,20528
25,0.0,3,412792,20672
25,0.0,4,412792,22576
25,0.0,5,412792,21888
26,0.0,1,429304,13288
26,0.0,2,429304,16976
26,0.0,3,429304,18000
26,0.0,4,429304,19416
26,0.0,5,429304,18944
27,0.0,1,445816,21456
27,0.0,2,445816,21008
27,0.0,3,445816,20000
27,0.0,4,445816,17776
27,0.0,5,445816,26544
28,0.0,1,462328,20200
28,0.0,2,462328,19400
28,0.0,3,462328,20984
28,0.0,4,462328,21400
28,0.0,5,462328,28240
29,0.0,1,478840,24944
29,0.0,2,478840,23064
29,0.0,3,478840,19488
29,0.0,4,478840,20072
29,0.0,5,478840,25016
30,0.0,1,495352,26568
30,0.0,2,495352,22304
30,0.0,3,495352,19128
30,0.0,4,495352,20840
30,0.0,5,495352,18784
31,0.0,1,511864,22992
31,0.0,2,511864,21992
31,0.0,3,511864,22024
31,0.0,4,511864,23360
31,0.0,5,511864,27664
32,0.0,1,528376,31024
32,0.0,2,528376,24832
32,0.0,3,528376,27048
32,0.0,4,528376,19776
32,0.0,5,528376,26720
33,0.0,1,544888,19488
33,0.0,2,544888,18264
33,0.0,3,544888,25096
33,0.0,4,544888,30336
33,0.0,5,544888,19664
34,0.0,1,561400,27904
34,0.0,2,561400,26072
34,0.0,3,561400,28352
34,0.0,4,561400,24296
34,0.0,5,561400,25304
35,0.0,1,577912,28880
35,0.0,2,577912,25408
35,0.0,3,577912,28912
35,0.0,4,577912,26328
35,0.0,5,577912,26592
36,0.0,1,594424,25280
36,0.0,2,594424,22536
36,0.0,3,594424,30024
36,0.0,4,594424,29896
36,0.0,5,594424,27896
37,0.0,1,610936,26632
37,0.0,2,610936,24736
37,0.0,3,610936,30272
37,0.0,4,610936,27112
37,0.0,5,610936,31256
38,0.0,1,627448,29840
38,0.0,2,627448,25992
38,0.0,3,627448,31768
38,0.0,4,627448,28496
38,0.0,5,627448,25312
39,0.0,1,643960,27720
39,0.0,2,643960,30392
39,0.0,3,643960,36448
39,0.0,4,643960,34928
39,0.0,5,643960,36080
40,0.0,1,660472,34768
40,0.0,2,660472,32208
40,0.0,3,660472,34432
40,0.0,4,660472,31152
40,0.0,5,660472,29016
41,0.0,1,676984,29872
41,0.0,2,676984,33400
41,0.0,3,676984,28304
41,0.0,4,676984,32016
41,0.0,5,676984,33632
42,0.0,1,693496,29032
42,0.0,2,693496,34832
42,0.0,3,693496,35608
42,0.0,4,693496,33424
42,0.0,5,693496,33216
43,0.0,1,710008,26512
43,0.0,2,710008,29144
43,0.0,3,710008,29096
43,0.0,4,710008,30296
43,0.0,5,710008,28232
44,0.0,1,726520,31848
44,0.0,2,726520,34216
44,0.0,3,726520,35408
44,0.0,4,726520,32496
44,0.0,5,726520,29888
45,0.0,1,743032,34568
45,0.0,2,743032,32688
45,0.0,3,743032,37344
45,0.0,4,743032,34160
45,0.0,5,743032,33008
46,0.0,1,759544,35616
46,0.0,2,759544,32256
46,0.0,3,759544,35192
46,0.0,4,759544,33712
46,0.0,5,759544,37896
47,0.0,1,776056,40304
47,0.0,2,776056,32872
47,0.0,3,776056,33128
47,0.0,4,776056,39888
47,0.0,5,776056,36608
48,0.0,1,792568,31688
48,0.0,2,792568,33024
48,0.0,3,792568,33608
48,0.0,4,792568,35632
48,0.0,5,792568,30792
49,0.0,1,809080,36528
49,0.0,2,809080,35416
49,0.0,3,809080,41296
49,0.0,4,809080,34176
49,0.0,5,809080,35784
50,0.0,1,825592,38992
50,0.0,2,825592,44624
50,0.0,3,825592,42240
50,0.0,4,825592,42072
50,0.0,5,825592,38952
51,0.0,1,842104,35856
51,0.0,2,842104,37336
51,0.0,3,842104,40856
51,0.0,4,842104,40544
51,0.0,5,842104,40048
52,0.0,1,858616,42856
52,0.0,2,858616,35304
52,0.0,3,858616,41328
52,0.0,4,858616,35176
52,0.0,5,858616,44120
53,0.0,1,875128,35512
53,0.0,2,875128,32488
53,0.0,3,875128,41928
53,0.0,4,875128,37424
53,0.0,5,875128,40680
54,0.0,1,891640,45472
54,0.0,2,891640,40320
54,0.0,3,891640,41632
54,0.0,4,891640,47312
54,0.0,5,891640,40688
55,0.0,1,908152,37224
55,0.0,2,908152,42248
55,0.0,3,908152,34264
55,0.0,4,908152,42608
55,0.0,5,908152,39480
56,0.0,1,924664,38720
56,0.0,2,924664,50168
56,0.0,3,924664,30928
56,0.0,4,924664,48176
56,0.0,5,924664,38280
57,0.0,1,941176,42440
57,0.0,2,941176,43368
57,0.0,3,941176,44384
57,0.0,4,941176,37976
57,0.0,5,941176,43704
58,0.0,1,957688,45144
58,0.0,2,957688,39520
58,0.0,3,957688,39920
58,0.0,4,957688,48096
58,0.0,5,957688,44872
59,0.0,1,974200,37856
59,0.0,2,974200,46864
59,0.0,3,974200,42656
59,0.0,4,974200,42224
59,0.0,5,974200,45200
60,0.0,1,990712,44512
60,0.0,2,990712,40592
60,0.0,3,990712,42568
60,0.0,4,990712,44688
60,0.0,5,990712,39976
61,0.0,1,1007224,51064
61,0.0,2,1007224,45888
61,0.0,3,1007224,43024
61,0.0,4,1007224,51216
61,0.0,5,1007224,50640
62,0.0,1,1023736,43440
62,0.0,2,1023736,44896
62,0.0,3,1023736,47328
62,0.0,4,1023736,47840
62,0.0,5,1023736,49464
63,0.0,1,1040248,41888
63,0.0,2,1040248,44840
63,0.0,3,1040248,46640
63,0.0,4,1040248,45880
63,0.0,5,1040248,46000
64,0.0,1,1056760,51792
64,0.0,2,1056760,51384
64,0.0,3,1056760,57112
64,0.0,4,1056760,42936
64,0.0,5,1056760,46552
65,0.0,1,1073272,42704
65,0.0,2,1073272,48568
65,0.0,3,1073272,46544
65,0.0,4,1073272,49496
65,0.0,5,1073272,47384
66,0.0,1,1089784,46384
66,0.0,2,1089784,49240
66,0.0,3,1089784,51808
66,0.0,4,1089784,48824
66,0.0,5,1089784,52784
67,0.0,1,1106296,58704
67,0.0,2,1106296,46960
67,0.0,3,1106296,58608
67,0.0,4,1106296,49392
67,0.0,5,1106296,57320
68,0.0,1,1122808,48328
68,0.0,2,1122808,45456
68,0.0,3,1122808,52968
68,0.0,4,1122808,45832
68,0.0,5,1122808,49552
69,0.0,1,1139320,49800
69,0.0,2,1139320,49736
69,0.0,3,1139320,56888
69,0.0,4,1139320,55784
69,0.0,5,1139320,54232
70,0.0,1,1155832,58248
70,0.0,2,1155832,48392
70,0.0,3,1155832,46288
70,0.0,4,1155832,53784
70,0.0,5,1155832,47208
