N,P,X,Cmap,ExecEnv
100,0.0,1,1651192,84752
100,0.0,2,1651192,74184
100,0.0,3,1651192,72560
100,0.0,4,1651192,76112
100,0.0,5,1651192,73544
200,0.0,1,3302392,146616
200,0.0,2,3302392,144104
200,0.0,3,3302392,146376
200,0.0,4,3302392,143096
200,0.0,5,3302392,157616
300,0.0,1,4953592,230616
300,0.0,2,4953592,200296
300,0.0,3,4953592,220840
300,0.0,4,4953592,221616
300,0.0,5,4953592,227024
400,0.0,1,6604792,301128
400,0.0,2,6604792,305432
400,0.0,3,6604792,288992
400,0.0,4,6604792,283248
400,0.0,5,6604792,316264
500,0.0,1,8255992,375136
500,0.0,2,8255992,381312
500,0.0,3,8255992,375408
500,0.0,4,8255992,340720
500,0.0,5,8255992,401640
100,0.1,1,1651192,70032
100,0.1,2,1651192,73104
100,0.1,3,1651192,82592
100,0.1,4,1651192,72768
100,0.1,5,1651192,76464
200,0.1,1,3302392,160536
200,0.1,2,3302392,138016
200,0.1,3,3302392,156640
200,0.1,4,3302392,146176
200,0.1,5,3302392,141648
300,0.1,1,4953592,232272
300,0.1,2,4953592,243528
300,0.1,3,4953592,218592
300,0.1,4,4953592,203136
300,0.1,5,4953592,223320
400,0.1,1,6604792,285000
400,0.1,2,6604792,291312
400,0.1,3,6604792,299832
400,0.1,4,6604792,306240
400,0.1,5,6604792,298752
500,0.1,1,8255992,366264
500,0.1,2,8255992,362856
500,0.1,3,8255992,387944
500,0.1,4,8255992,381352
500,0.1,5,8255992,373152
100,0.2,1,1651192,76368
100,0.2,2,1651192,71672
100,0.2,3,1651192,75296
100,0.2,4,1651192,74136
100,0.2,5,1651192,74928
200,0.2,1,3302392,151240
200,0.2,2,3302392,135760
200,0.2,3,3302392,161344
200,0.2,4,3302392,145064
200,0.2,5,3302392,143784
300,0.2,1,4953592,220752
300,0.2,2,4953592,209328
300,0.2,3,4953592,208432
300,0.2,4,4953592,233144
300,0.2,5,4953592,221312
