N,P,X,Cmap,ExecEnv
1,0.0,1,1992,88
1,0.0,2,1992,88
1,0.0,3,1992,88
1,0.0,4,1992,88
1,0.0,5,1992,88
2,0.0,1,2592,1152
2,0.0,2,2440,3384
2,0.0,3,2408,968
2,0.0,4,2056,888
2,0.0,5,2080,600
3,0.0,1,2144,1808
3,0.0,2,2600,1480
3,0.0,3,2120,2360
3,0.0,4,2168,2136
3,0.0,5,2488,1464
4,0.0,1,4544,4872
4,0.0,2,2856,1936
4,0.0,3,2688,2800
4,0.0,4,4384,4016
4,0.0,5,2416,2944
5,0.0,1,2648,3336
5,0.0,2,2416,3392
5,0.0,3,3512,3800
5,0.0,4,2640,2296
5,0.0,5,2488,2440
6,0.0,1,4248,5152
6,0.0,2,3056,5968
6,0.0,3,4544,5592
6,0.0,4,2440,8784
6,0.0,5,3384,3272
7,0.0,1,3528,6296
7,0.0,2,4176,5592
7,0.0,3,4176,6096
7,0.0,4,7360,6240
7,0.0,5,2976,5008
8,0.0,1,5568,6712
8,0.0,2,4472,6888
8,0.0,3,4088,7720
8,0.0,4,4936,6920
8,0.0,5,3376,6792
9,0.0,1,4680,4992
9,0.0,2,7808,7640
9,0.0,3,3784,6424
9,0.0,4,4768,5960
9,0.0,5,3832,9344
10,0.0,1,6600,11160
10,0.0,2,4104,5608
10,0.0,3,5336,7248
10,0.0,4,3464,7736
10,0.0,5,5576,10888
11,0.0,1,5856,7320
11,0.0,2,5560,10840
11,0.0,3,3624,6320
11,0.0,4,7144,11040
11,0.0,5,6176,5912
12,0.0,1,3968,7992
12,0.0,2,5408,9248
12,0.0,3,5608,8224
12,0.0,4,6192,11728
12,0.0,5,6320,10112
13,0.0,1,8040,9576
13,0.0,2,4632,8320
13,0.0,3,9024,13848
13,0.0,4,4232,8000
13,0.0,5,4560,10960
14,0.0,1,4480,9496
14,0.0,2,8448,11648
14,0.0,3,6328,12440
14,0.0,4,6840,13320
14,0.0,5,3264,7072
15,0.0,1,8752,15720
15,0.0,2,5128,11568
15,0.0,3,10608,14936
15,0.0,4,5816,10272
15,0.0,5,6848,12472
16,0.0,1,7424,10064
16,0.0,2,5472,12384
16,0.0,3,5296,11648
16,0.0,4,9168,14976
16,0.0,5,7624,12760
17,0.0,1,10000,14808
17,0.0,2,6912,11728
17,0.0,3,8240,13104
17,0.0,4,4856,12072
17,0.0,5,10008,15184
18,0.0,1,5288,13320
18,0.0,2,6048,12840
18,0.0,3,4224,10088
18,0.0,4,8856,13360
18,0.0,5,8504,13824
19,0.0,1,4984,9928
19,0.0,2,8904,12760
19,0.0,3,7480,13696
19,0.0,4,6336,12272
19,0.0,5,8400,16456
20,0.0,1,7544,15416
20,0.0,2,9936,18776
20,0.0,3,8680,18088
20,0.0,4,4032,15712
20,0.0,5,7552,12768
21,0.0,1,11984,16960
21,0.0,2,7528,12768
21,0.0,3,7344,12944
21,0.0,4,7368,18416
21,0.0,5,12896,19304
22,0.0,1,14432,20840
22,0.0,2,9288,16800
22,0.0,3,8936,18144
22,0.0,4,6792,11880
22,0.0,5,10272,20656
23,0.0,1,8520,20008
23,0.0,2,8432,18456
23,0.0,3,11448,18200
23,0.0,4,6592,18208
23,0.0,5,10584,18672
24,0.0,1,11848,21144
24,0.0,2,11680,17024
24,0.0,3,8056,14720
24,0.0,4,8584,18840
24,0.0,5,9408,14592
25,0.0,1,6400,14568
25,0.0,2,13304,20528
25,0.0,3,11456,20672
25,0.0,4,13872,22552
25,0.0,5,12056,21864
26,0.0,1,8216,13264
26,0.0,2,10096,16952
26,0.0,3,7864,18000
26,0.0,4,13336,19416
26,0.0,5,13144,18944
27,0.0,1,8816,21456
