N,P,X,Cmap,Parents,Children
1,0.0,1,1992,16,16
1,0.0,2,1992,16,16
1,0.0,3,1992,16,16
1,0.0,4,1992,16,16
1,0.0,5,1992,16,16
2,0.0,1,2592,968,992
2,0.0,2,2440,3184,3224
2,0.0,3,2408,784,808
2,0.0,4,2056,704,728
2,0.0,5,2080,416,440
3,0.0,1,2144,1568,1616
3,0.0,2,2600,1240,1288
3,0.0,3,2120,2120,2168
3,0.0,4,2168,1896,1944
3,0.0,5,2488,1224,1272
4,0.0,1,4544,4576,4648
4,0.0,2,2856,1640,1712
4,0.0,3,2688,2504,2576
4,0.0,4,4384,3704,3792
4,0.0,5,2416,2648,2720
5,0.0,1,2648,2984,3080
5,0.0,2,2416,3056,3136
5,0.0,3,3512,3448,3544
5,0.0,4,2640,1928,2040
5,0.0,5,2488,2104,2184
6,0.0,1,4248,4744,4864
6,0.0,2,3056,5576,5680
6,0.0,3,4544,5168,5304
6,0.0,4,2440,8360,8496
6,0.0,5,3384,2864,2984
7,0.0,1,3528,5816,5976
7,0.0,2,4176,5112,5272
7,0.0,3,4176,5616,5776
7,0.0,4,7360,5776,5920
7,0.0,5,2976,4544,4688
8,0.0,1,5568,6176,6360
8,0.0,2,4472,6352,6536
8,0.0,3,4088,7184,7368
8,0.0,4,4936,6384,6568
8,0.0,5,3376,6272,6440
9,0.0,1,4680,4416,4608
9,0.0,2,7808,7048,7256
9,0.0,3,3784,5848,6064
9,0.0,4,4768,5368,5576
9,0.0,5,3832,8752,8960
10,0.0,1,6600,10512,10744
10,0.0,2,4104,4960,5192
10,0.0,3,5336,6600,6832
10,0.0,4,3464,7088,7320
10,0.0,5,5600,10240,10472
11,0.0,1,5856,6632,6872
11,0.0,2,5560,10136,10392
11,0.0,3,3624,5616,5872
11,0.0,4,7144,10336,10592
11,0.0,5,6176,5224,5464
12,0.0,1,3968,7232,7512
12,0.0,2,5408,8488,8768
12,0.0,3,5608,7464,7744
12,0.0,4,6192,10984,11248
12,0.0,5,6320,9368,9632
13,0.0,1,8040,8776,9064
13,0.0,2,4632,7504,7832
13,0.0,3,9048,13032,13336
13,0.0,4,4232,7184,7488
13,0.0,5,4560,10160,10448
14,0.0,1,4480,8640,8952
14,0.0,2,8512,10800,11128
14,0.0,3,6328,11568,11896
14,0.0,4,6840,12448,12776
14,0.0,5,3264,6232,6528
15,0.0,1,8752,14792,15144
15,0.0,2,5128,10640,10992
15,0.0,3,10608,14024,14360
15,0.0,4,5816,9344,9696
15,0.0,5,6848,11544,11896
16,0.0,1,7424,9080,9456
16,0.0,2,5472,11400,11776
16,0.0,3,5272,10664,11040
16,0.0,4,9168,13992,14368
16,0.0,5,7624,11776,12152
17,0.0,1,10000,13768,14168
17,0.0,2,6912,10688,11088
17,0.0,3,8240,12064,12464
17,0.0,4,4856,11032,11432
17,0.0,5,10024,14144,14544
18,0.0,1,5288,12224,12648
18,0.0,2,6120,11744,12168
18,0.0,3,4224,8992,9416
18,0.0,4,8856,12304,12712
18,0.0,5,8504,12744,13152
19,0.0,1,4984,8776,9224
19,0.0,2,8904,11624,12056
19,0.0,3,7480,12544,12992
19,0.0,4,6336,11120,11568
19,0.0,5,8400,15328,15776
20,0.0,1,7544,14208,14680
20,0.0,2,9936,17568,18040
20,0.0,3,8704,16880,17352
20,0.0,4,4032,14504,14976
20,0.0,5,7552,11576,12032
21,0.0,1,11984,15696,16192
21,0.0,2,7528,11520,12000
21,0.0,3,7344,11696,12176
21,0.0,4,7368,17152,17648
21,0.0,5,12896,18040,18560
22,0.0,1,14432,19520,20040
22,0.0,2,9288,15480,16000
22,0.0,3,8920,16824,17344
22,0.0,4,6792,10560,11080
22,0.0,5,10272,19336,19856
23,0.0,1,8432,18632,19176
23,0.0,2,8432,17080,17624
23,0.0,3,11448,16824,17368
23,0.0,4,6592,16832,17376
23,0.0,5,10584,17296,17840
24,0.0,1,11848,19712,20280
24,0.0,2,11768,15592,16160
24,0.0,3,8104,13288,13856
24,0.0,4,8536,17408,17976
24,0.0,5,9384,13176,13728
25,0.0,1,6400,13104,13696
