N,P,X,Filesize
1,0.0,1,12288
1,0.0,2,12288
1,0.0,3,12288
1,0.0,4,12288
1,0.0,5,12288
2,0.0,1,12288
2,0.0,2,12288
2,0.0,3,12288
2,0.0,4,12288
2,0.0,5,12288
3,0.0,1,12288
3,0.0,2,12288
3,0.0,3,12288
3,0.0,4,12288
3,0.0,5,12288
4,0.0,1,12288
4,0.0,2,12288
4,0.0,3,12288
4,0.0,4,12288
4,0.0,5,12288
5,0.0,1,12288
5,0.0,2,12288
5,0.0,3,12288
5,0.0,4,12288
5,0.0,5,12288
6,0.0,1,12288
6,0.0,2,12288
6,0.0,3,12288
6,0.0,4,12288
6,0.0,5,12288
7,0.0,1,12288
7,0.0,2,12288
7,0.0,3,12288
7,0.0,4,12288
7,0.0,5,12288
8,0.0,1,12288
8,0.0,2,12288
8,0.0,3,12288
8,0.0,4,12288
8,0.0,5,12288
9,0.0,1,12288
9,0.0,2,12288
9,0.0,3,12288
9,0.0,4,12288
9,0.0,5,12288
10,0.0,1,12288
10,0.0,2,12288
10,0.0,3,12288
10,0.0,4,12288
10,0.0,5,12288
11,0.0,1,12288
11,0.0,2,12288
11,0.0,3,12288
11,0.0,4,12288
11,0.0,5,12288
12,0.0,1,12288
12,0.0,2,12288
12,0.0,3,12288
12,0.0,4,12288
12,0.0,5,12288
13,0.0,1,12288
13,0.0,2,12288
13,0.0,3,12288
13,0.0,4,12288
13,0.0,5,12288
14,0.0,1,12288
14,0.0,2,12288
14,0.0,3,12288
14,0.0,4,12288
14,0.0,5,12288
15,0.0,1,12288
15,0.0,2,12288
15,0.0,3,12288
15,0.0,4,12288
15,0.0,5,12288
16,0.0,1,12288
16,0.0,2,12288
16,0.0,3,12288
16,0.0,4,12288
16,0.0,5,12288
17,0.0,1,12288
17,0.0,2,12288
17,0.0,3,12288
17,0.0,4,12288
17,0.0,5,12288
18,0.0,1,12288
18,0.0,2,12288
18,0.0,3,12288
18,0.0,4,12288
18,0.0,5,12288
19,0.0,1,12288
19,0.0,2,12288
19,0.0,3,12288
19,0.0,4,12288
19,0.0,5,12288
20,0.0,1,12288
20,0.0,2,12288
20,0.0,3,12288
20,0.0,4,12288
20,0.0,5,12288
21,0.0,1,20480
21,0.0,2,12288
21,0.0,3,12288
21,0.0,4,12288
21,0.0,5,20480
22,0.0,1,20480
22,0.0,2,20480
22,0.0,3,20480
22,0.0,4,12288
22,0.0,5,20480
23,0.0,1,20480
23,0.0,2,12288
23,0.0,3,20480
23,0.0,4,12288
23,0.0,5,20480
24,0.0,1,20480
24,0.0,2,20480
24,0.0,3,12288
24,0.0,4,20480
24,0.0,5,20480
25,0.0,1,12288
25,0.0,2,20480
25,0.0,3,20480
25,0.0,4,20480
25,0.0,5,20480
26,0.0,1,12288
26,0.0,2,20480
26,0.0,3,20480
26,0.0,4,20480
26,0.0,5,20480
27,0.0,1,20480
27,0.0,2,20480
27,0.0,3,20480
27,0.0,4,20480
27,0.0,5,20480
28,0.0,1,20480
28,0.0,2,20480
28,0.0,3,20480
28,0.0,4,20480
28,0.0,5,20480
29,0.0,1,20480
29,0.0,2,20480
29,0.0,3,20480
29,0.0,4,20480
29,0.0,5,20480
30,0.0,1,20480
30,0.0,2,20480
30,0.0,3,20480
30,0.0,4,20480
30,0.0,5,20480
31,0.0,1,20480
31,0.0,2,20480
31,0.0,3,20480
31,0.0,4,20480
31,0.0,5,24576
32,0.0,1,24576
32,0.0,2,20480
32,0.0,3,20480
32,0.0,4,20480
32,0.0,5,20480
33,0.0,1,20480
33,0.0,2,20480
33,0.0,3,20480
33,0.0,4,24576
33,0.0,5,20480
34,0.0,1,20480
34,0.0,2,20480
34,0.0,3,20480
34,0.0,4,20480
34,0.0,5,20480
35,0.0,1,20480
35,0.0,2,20480
35,0.0,3,20480
35,0.0,4,20480
35,0.0,5,20480
36,0.0,1,20480
36,0.0,2,20480
36,0.0,3,24576
36,0.0,4,24576
36,0.0,5,20480
37,0.0,1,20480
37,0.0,2,20480
37,0.0,3,20480
37,0.0,4,20480
37,0.0,5,24576
38,0.0,1,20480
38,0.0,2,20480
38,0.0,3,24576
38,0.0,4,24576
38,0.0,5,20480
39,0.0,1,24576
39,0.0,2,20480
39,0.0,3,24576
39,0.0,4,24576
39,0.0,5,24576
40,0.0,1,20480
40,0.0,2,24576
40,0.0,3,24576
40,0.0,4,24576
40,0.0,5,20480
41,0.0,1,24576
41,0.0,2,24576
41,0.0,3,24576
41,0.0,4,24576
41,0.0,5,24576
42,0.0,1,24576
42,0.0,2,24576
42,0.0,3,24576
42,0.0,4,24576
42,0.0,5,24576
43,0.0,1,20480
43,0.0,2,20480
43,0.0,3,24576
43,0.0,4,24576
43,0.0,5,24576
44,0.0,1,24576
44,0.0,2,24576
44,0.0,3,24576
44,0.0,4,24576
44,0.0,5,24576
45,0.0,1,24576
45,0.0,2,24576
45,0.0,3,24576
45,0.0,4,24576
45,0.0,5,24576
46,0.0,1,24576
46,0.0,2,24576
46,0.0,3,24576
46,0.0,4,24576
46,0.0,5,24576
47,0.0,1,24576
47,0.0,2,20480
47,0.0,3,24576
47,0.0,4,24576
47,0.0,5,24576
48,0.0,1,24576
48,0.0,2,24576
48,0.0,3,24576
48,0.0,4,24576
48,0.0,5,24576
49,0.0,1,24576
49,0.0,2,28672
49,0.0,3,24576
49,0.0,4,24576
49,0.0,5,24576
50,0.0,1,24576
50,0.0,2,24576
50,0.0,3,24576
50,0.0,4,24576
50,0.0,5,28672
51,0.0,1,24576
51,0.0,2,24576
51,0.0,3,24576
51,0.0,4,28672
51,0.0,5,24576
52,0.0,1,24576
52,0.0,2,24576
52,0.0,3,24576
52,0.0,4,28672
52,0.0,5,28672
53,0.0,1,24576
53,0.0,2,24576
53,0.0,3,24576
53,0.0,4,24576
53,0.0,5,24576
54,0.0,1,28672
54,0.0,2,28672
54,0.0,3,28672
54,0.0,4,28672
54,0.0,5,28672
55,0.0,1,24576
55,0.0,2,24576
55,0.0,3,24576
55,0.0,4,28672
55,0.0,5,24576
56,0.0,1,24576
56,0.0,2,28672
56,0.0,3,24576
56,0.0,4,28672
56,0.0,5,28672
57,0.0,1,28672
57,0.0,2,28672
57,0.0,3,28672
57,0.0,4,24576
57,0.0,5,32768
58,0.0,1,28672
58,0.0,2,28672
58,0.0,3,28672
58,0.0,4,28672
58,0.0,5,32768
59,0.0,1,24576
59,0.0,2,28672
59,0.0,3,24576
59,0.0,4,28672
59,0.0,5,28672
60,0.0,1,28672
60,0.0,2,28672
60,0.0,3,24576
60,0.0,4,28672
60,0.0,5,28672
61,0.0,1,28672
61,0.0,2,28672
61,0.0,3,28672
61,0.0,4,32768
61,0.0,5,28672
62,0.0,1,28672
62,0.0,2,28672
62,0.0,3,32768
62,0.0,4,28672
62,0.0,5,28672
63,0.0,1,28672
63,0.0,2,28672
63,0.0,3,28672
63,0.0,4,28672
63,0.0,5,28672
64,0.0,1,28672
64,0.0,2,32768
64,0.0,3,32768
64,0.0,4,28672
64,0.0,5,28672
65,0.0,1,28672
65,0.0,2,28672
65,0.0,3,28672
65,0.0,4,28672
65,0.0,5,28672
66,0.0,1,32768
66,0.0,2,28672
66,0.0,3,28672
66,0.0,4,32768
66,0.0,5,28672
67,0.0,1,32768
67,0.0,2,28672
67,0.0,3,28672
67,0.0,4,28672
67,0.0,5,32768
68,0.0,1,28672
68,0.0,2,28672
68,0.0,3,32768
68,0.0,4,28672
68,0.0,5,32768
69,0.0,1,32768
69,0.0,2,28672
69,0.0,3,32768
69,0.0,4,28672
69,0.0,5,32768
70,0.0,1,32768
70,0.0,2,28672
70,0.0,3,28672
70,0.0,4,32768
70,0.0,5,28672
71,0.0,1,32768
71,0.0,2,32768
71,0.0,3,36864
71,0.0,4,32768
71,0.0,5,32768
72,0.0,1,36864
72,0.0,2,32768
72,0.0,3,32768
72,0.0,4,32768
72,0.0,5,36864
73,0.0,1,36864
73,0.0,2,32768
73,0.0,3,32768
73,0.0,4,28672
73,0.0,5,32768
74,0.0,1,36864
74,0.0,2,32768
74,0.0,3,32768
74,0.0,4,32768
74,0.0,5,32768
75,0.0,1,32768
75,0.0,2,32768
75,0.0,3,36864
75,0.0,4,32768
75,0.0,5,36864
76,0.0,1,32768
76,0.0,2,28672
76,0.0,3,32768
76,0.0,4,32768
76,0.0,5,36864
77,0.0,1,32768
77,0.0,2,32768
77,0.0,3,36864
77,0.0,4,32768
77,0.0,5,36864
78,0.0,1,32768
78,0.0,2,36864
78,0.0,3,28672
78,0.0,4,40960
78,0.0,5,36864
79,0.0,1,40960
79,0.0,2,32768
79,0.0,3,36864
79,0.0,4,32768
79,0.0,5,32768
80,0.0,1,32768
80,0.0,2,28672
80,0.0,3,36864
80,0.0,4,28672
80,0.0,5,32768
81,0.0,1,32768
81,0.0,2,40960
81,0.0,3,32768
81,0.0,4,36864
81,0.0,5,32768
82,0.0,1,36864
82,0.0,2,36864
82,0.0,3,32768
82,0.0,4,36864
82,0.0,5,36864
83,0.0,1,36864
83,0.0,2,32768
83,0.0,3,36864
83,0.0,4,36864
83,0.0,5,40960
84,0.0,1,40960
84,0.0,2,32768
84,0.0,3,40960
84,0.0,4,36864
84,0.0,5,32768
85,0.0,1,32768
85,0.0,2,32768
85,0.0,3,36864
85,0.0,4,36864
85,0.0,5,32768
86,0.0,1,45056
86,0.0,2,36864
86,0.0,3,32768
86,0.0,4,32768
86,0.0,5,36864
87,0.0,1,36864
87,0.0,2,36864
87,0.0,3,36864
87,0.0,4,36864
87,0.0,5,36864
88,0.0,1,40960
88,0.0,2,32768
88,0.0,3,36864
88,0.0,4,40960
88,0.0,5,36864
89,0.0,1,32768
89,0.0,2,36864
89,0.0,3,32768
89,0.0,4,36864
89,0.0,5,36864
90,0.0,1,36864
90,0.0,2,40960
90,0.0,3,36864
90,0.0,4,45056
90,0.0,5,40960
91,0.0,1,36864
91,0.0,2,36864
91,0.0,3,32768
91,0.0,4,32768
91,0.0,5,36864
92,0.0,1,45056
92,0.0,2,36864
92,0.0,3,45056
92,0.0,4,32768
92,0.0,5,36864
93,0.0,1,40960
93,0.0,2,40960
93,0.0,3,40960
93,0.0,4,36864
93,0.0,5,40960
94,0.0,1,45056
94,0.0,2,36864
