N,P,X,Filesize
100,0.0,1,32768
100,0.0,2,36864
100,0.0,3,28672
100,0.0,4,28672
100,0.0,5,36864
200,0.0,1,65536
200,0.0,2,57344
200,0.0,3,73728
200,0.0,4,61440
200,0.0,5,61440
300,0.0,1,110592
300,0.0,2,94208
300,0.0,3,98304
300,0.0,4,86016
300,0.0,5,118784
400,0.0,1,126976
400,0.0,2,135168
400,0.0,3,147456
400,0.0,4,155648
400,0.0,5,135168
500,0.0,1,192512
500,0.0,2,225280
500,0.0,3,208896
500,0.0,4,208896
500,0.0,5,249856
600,0.0,1,229376
600,0.0,2,286720
600,0.0,3,237568
600,0.0,4,200704
600,0.0,5,311296
700,0.0,1,344064
700,0.0,2,303104
700,0.0,3,319488
700,0.0,4,323584
700,0.0,5,294912
800,0.0,1,483328
800,0.0,2,376832
800,0.0,3,344064
800,0.0,4,331776
800,0.0,5,421888
900,0.0,1,462848
900,0.0,2,438272
900,0.0,3,450560
900,0.0,4,438272
900,0.0,5,462848
1000,0.0,1,475136
1000,0.0,2,536576
1000,0.0,3,520192
1000,0.0,4,495616
1000,0.0,5,577536
100,0.1,1,32768
100,0.1,2,28672
100,0.1,3,28672
100,0.1,4,28672
100,0.1,5,28672
200,0.1,1,49152
200,0.1,2,49152
200,0.1,3,45056
200,0.1,4,49152
200,0.1,5,53248
300,0.1,1,61440
300,0.1,2,61440
300,0.1,3,65536
300,0.1,4,61440
300,0.1,5,73728
400,0.1,1,77824
400,0.1,2,81920
400,0.1,3,77824
400,0.1,4,90112
400,0.1,5,81920
500,0.1,1,102400
500,0.1,2,98304
500,0.1,3,106496
500,0.1,4,102400
500,0.1,5,110592
600,0.1,1,126976
600,0.1,2,118784
600,0.1,3,122880
600,0.1,4,135168
600,0.1,5,126976
700,0.1,1,143360
700,0.1,2,143360
700,0.1,3,135168
700,0.1,4,139264
700,0.1,5,143360
800,0.1,1,172032
800,0.1,2,176128
800,0.1,3,167936
800,0.1,4,151552
800,0.1,5,167936
900,0.1,1,196608
900,0.1,2,180224
900,0.1,3,212992
900,0.1,4,196608
900,0.1,5,208896
1000,0.1,1,212992
1000,0.1,2,212992
1000,0.1,3,208896
1000,0.1,4,188416
1000,0.1,5,208896
100,0.2,1,28672
100,0.2,2,28672
100,0.2,3,32768
100,0.2,4,28672
100,0.2,5,32768
200,0.2,1,45056
200,0.2,2,45056
200,0.2,3,49152
200,0.2,4,45056
200,0.2,5,45056
300,0.2,1,61440
300,0.2,2,61440
300,0.2,3,61440
300,0.2,4,57344
300,0.2,5,65536
400,0.2,1,77824
400,0.2,2,86016
400,0.2,3,77824
400,0.2,4,77824
400,0.2,5,77824
500,0.2,1,106496
500,0.2,2,110592
500,0.2,3,110592
500,0.2,4,106496
500,0.2,5,106496
600,0.2,1,126976
600,0.2,2,114688
600,0.2,3,122880
600,0.2,4,126976
600,0.2,5,126976
700,0.2,1,143360
700,0.2,2,131072
700,0.2,3,143360
700,0.2,4,135168
700,0.2,5,139264
800,0.2,1,147456
800,0.2,2,151552
800,0.2,3,155648
800,0.2,4,176128
800,0.2,5,147456
900,0.2,1,196608
900,0.2,2,172032
900,0.2,3,180224
900,0.2,4,172032
900,0.2,5,180224
1000,0.2,1,208896
1000,0.2,2,200704
1000,0.2,3,192512
1000,0.2,4,180224
1000,0.2,5,192512
100,0.3,1,28672
100,0.3,2,28672
100,0.3,3,28672
100,0.3,4,28672
100,0.3,5,28672
200,0.3,1,45056
200,0.3,2,45056
200,0.3,3,45056
200,0.3,4,45056
200,0.3,5,45056
300,0.3,1,69632
300,0.3,2,65536
300,0.3,3,61440
300,0.3,4,61440
300,0.3,5,61440
400,0.3,1,77824
400,0.3,2,77824
400,0.3,3,81920
400,0.3,4,73728
400,0.3,5,73728
500,0.3,1,106496
500,0.3,2,106496
500,0.3,3,110592
500,0.3,4,110592
500,0.3,5,98304
600,0.3,1,114688
600,0.3,2,122880
600,0.3,3,118784
600,0.3,4,122880
600,0.3,5,118784
700,0.3,1,139264
700,0.3,2,139264
700,0.3,3,147456
700,0.3,4,135168
700,0.3,5,126976
800,0.3,1,151552
800,0.3,2,155648
800,0.3,3,147456
800,0.3,4,143360
800,0.3,5,143360
900,0.3,1,172032
900,0.3,2,172032
900,0.3,3,176128
900,0.3,4,167936
900,0.3,5,167936
1000,0.3,1,180224
1000,0.3,2,192512
1000,0.3,3,188416
1000,0.3,4,180224
1000,0.3,5,196608
100,0.4,1,28672
100,0.4,2,32768
100,0.4,3,28672
100,0.4,4,28672
100,0.4,5,28672
200,0.4,1,40960
200,0.4,2,45056
200,0.4,3,45056
200,0.4,4,49152
200,0.4,5,40960
300,0.4,1,61440
300,0.4,2,61440
300,0.4,3,57344
300,0.4,4,57344
300,0.4,5,57344
400,0.4,1,73728
400,0.4,2,81920
400,0.4,3,81920
400,0.4,4,81920
400,0.4,5,73728
500,0.4,1,102400
500,0.4,2,94208
500,0.4,3,102400
500,0.4,4,110592
500,0.4,5,98304
600,0.4,1,122880
600,0.4,2,110592
600,0.4,3,110592
600,0.4,4,110592
600,0.4,5,110592
700,0.4,1,131072
700,0.4,2,131072
700,0.4,3,126976
700,0.4,4,139264
700,0.4,5,131072
800,0.4,1,147456
800,0.4,2,147456
800,0.4,3,147456
800,0.4,4,147456
800,0.4,5,147456
900,0.4,1,172032
900,0.4,2,172032
900,0.4,3,159744
900,0.4,4,180224
900,0.4,5,172032
1000,0.4,1,184320
1000,0.4,2,192512
1000,0.4,3,184320
1000,0.4,4,176128
1000,0.4,5,176128
100,0.5,1,28672
100,0.5,2,28672
100,0.5,3,32768
100,0.5,4,28672
100,0.5,5,28672
200,0.5,1,40960
200,0.5,2,49152
200,0.5,3,45056
200,0.5,4,40960
200,0.5,5,40960
300,0.5,1,57344
300,0.5,2,61440
300,0.5,3,65536
300,0.5,4,57344
300,0.5,5,61440
400,0.5,1,73728
400,0.5,2,77824
400,0.5,3,77824
400,0.5,4,77824
400,0.5,5,73728
500,0.5,1,102400
500,0.5,2,102400
500,0.5,3,94208
500,0.5,4,98304
500,0.5,5,94208
600,0.5,1,118784
600,0.5,2,114688
600,0.5,3,110592
600,0.5,4,114688
600,0.5,5,118784
700,0.5,1,139264
700,0.5,2,122880
700,0.5,3,135168
700,0.5,4,131072
700,0.5,5,135168
800,0.5,1,143360
800,0.5,2,147456
800,0.5,3,143360
800,0.5,4,147456
800,0.5,5,147456
900,0.5,1,163840
900,0.5,2,155648
900,0.5,3,163840
900,0.5,4,159744
900,0.5,5,192512
1000,0.5,1,176128
1000,0.5,2,180224
1000,0.5,3,180224
1000,0.5,4,176128
1000,0.5,5,180224
100,0.6,1,28672
100,0.6,2,32768
100,0.6,3,28672
100,0.6,4,28672
100,0.6,5,28672
200,0.6,1,45056
200,0.6,2,45056
200,0.6,3,49152
200,0.6,4,45056
200,0.6,5,45056
300,0.6,1,61440
300,0.6,2,53248
300,0.6,3,57344
300,0.6,4,61440
300,0.6,5,57344
400,0.6,1,73728
400,0.6,2,73728
400,0.6,3,77824
400,0.6,4,81920
400,0.6,5,73728
500,0.6,1,94208
500,0.6,2,94208
500,0.6,3,94208
500,0.6,4,106496
500,0.6,5,98304
600,0.6,1,110592
600,0.6,2,114688
600,0.6,3,114688
600,0.6,4,114688
600,0.6,5,114688
700,0.6,1,131072
700,0.6,2,126976
700,0.6,3,131072
700,0.6,4,126976
700,0.6,5,131072
800,0.6,1,147456
800,0.6,2,147456
800,0.6,3,143360
800,0.6,4,147456
800,0.6,5,147456
900,0.6,1,167936
900,0.6,2,172032
900,0.6,3,155648
900,0.6,4,163840
900,0.6,5,163840
1000,0.6,1,184320
1000,0.6,2,184320
1000,0.6,3,176128
1000,0.6,4,176128
1000,0.6,5,176128
100,0.7,1,32768
100,0.7,2,28672
100,0.7,3,28672
100,0.7,4,28672
100,0.7,5,28672
200,0.7,1,40960
200,0.7,2,40960
200,0.7,3,40960
200,0.7,4,40960
200,0.7,5,40960
300,0.7,1,57344
300,0.7,2,57344
300,0.7,3,57344
300,0.7,4,65536
300,0.7,5,61440
400,0.7,1,77824
400,0.7,2,81920
400,0.7,3,73728
400,0.7,4,73728
400,0.7,5,73728
500,0.7,1,98304
500,0.7,2,98304
500,0.7,3,102400
500,0.7,4,102400
500,0.7,5,98304
600,0.7,1,118784
600,0.7,2,118784
600,0.7,3,118784
600,0.7,4,110592
600,0.7,5,118784
700,0.7,1,126976
700,0.7,2,135168
700,0.7,3,126976
700,0.7,4,135168
700,0.7,5,122880
800,0.7,1,151552
800,0.7,2,143360
800,0.7,3,143360
800,0.7,4,135168
800,0.7,5,143360
900,0.7,1,155648
900,0.7,2,159744
900,0.7,3,155648
900,0.7,4,159744
900,0.7,5,159744
1000,0.7,1,180224
1000,0.7,2,180224
1000,0.7,3,188416
1000,0.7,4,184320
1000,0.7,5,180224
100,0.8,1,28672
100,0.8,2,28672
100,0.8,3,28672
100,0.8,4,28672
100,0.8,5,28672
200,0.8,1,45056
200,0.8,2,40960
200,0.8,3,40960
200,0.8,4,40960
200,0.8,5,45056
300,0.8,1,61440
300,0.8,2,53248
300,0.8,3,57344
300,0.8,4,57344
300,0.8,5,61440
400,0.8,1,73728
400,0.8,2,69632
400,0.8,3,73728
400,0.8,4,69632
400,0.8,5,86016
500,0.8,1,98304
500,0.8,2,98304
500,0.8,3,98304
500,0.8,4,98304
500,0.8,5,98304
600,0.8,1,110592
600,0.8,2,110592
600,0.8,3,110592
600,0.8,4,114688
600,0.8,5,106496
700,0.8,1,126976
700,0.8,2,126976
700,0.8,3,131072
700,0.8,4,131072
700,0.8,5,126976
800,0.8,1,143360
800,0.8,2,139264
800,0.8,3,147456
800,0.8,4,143360
800,0.8,5,135168
900,0.8,1,163840
900,0.8,2,167936
900,0.8,3,163840
900,0.8,4,167936
900,0.8,5,167936
1000,0.8,1,176128
1000,0.8,2,184320
1000,0.8,3,176128
1000,0.8,4,172032
1000,0.8,5,180224
100,0.9,1,28672
100,0.9,2,28672
100,0.9,3,28672
100,0.9,4,28672
100,0.9,5,28672
200,0.9,1,45056
200,0.9,2,45056
200,0.9,3,45056
200,0.9,4,40960
200,0.9,5,45056
300,0.9,1,61440
