N,P,X,Cmap,Parents,Children
1,0.0,1,3976,16,16
1,0.0,2,3992,16,16
1,0.0,3,3960,16,16
1,0.0,4,3976,16,16
1,0.0,5,3992,16,16
2,0.0,1,4208,280,304
2,0.0,2,4360,480,504
2,0.0,3,4328,688,712
2,0.0,4,4344,216,240
2,0.0,5,4296,680,704
3,0.0,1,4592,992,1056
3,0.0,2,4560,520,568
3,0.0,3,4424,376,424
3,0.0,4,4584,696,744
3,0.0,5,4664,552,600
4,0.0,1,5048,1800,1872
4,0.0,2,4872,1136,1208
4,0.0,3,7176,5792,5864
4,0.0,4,4944,952,1024
4,0.0,5,4928,832,904
5,0.0,1,7160,7312,7392
5,0.0,2,5312,1776,1872
5,0.0,3,6792,4336,4432
5,0.0,4,5248,1256,1352
5,0.0,5,5208,1472,1568
6,0.0,1,7504,6800,6920
6,0.0,2,7832,11464,11600
6,0.0,3,5560,9320,9456
6,0.0,4,5416,7512,7648
6,0.0,5,5624,2208,2328
7,0.0,1,7248,5056,5200
7,0.0,2,12208,12888,13032
7,0.0,3,7464,5168,5312
7,0.0,4,5912,2304,2448
7,0.0,5,9680,9360,9504
8,0.0,1,9208,8176,8360
8,0.0,2,8688,9280,9448
8,0.0,3,11888,10576,10728
8,0.0,4,8616,8192,8360
8,0.0,5,6328,3032,3200
9,0.0,1,10320,14000,14176
9,0.0,2,9936,8288,8496
9,0.0,3,12832,12768,12944
9,0.0,4,6488,2880,3072
9,0.0,5,7480,4944,5136
10,0.0,1,8864,6704,6920
10,0.0,2,7320,4176,4408
10,0.0,3,7744,5128,5344
10,0.0,4,10096,9880,10112
10,0.0,5,6720,7768,8000
11,0.0,1,9000,7112,7368
11,0.0,2,7448,7328,7568
11,0.0,3,12488,16752,16992
11,0.0,4,20280,26128,26352
11,0.0,5,7304,4264,4504
12,0.0,1,9472,9888,10136
12,0.0,2,11824,13832,14080
12,0.0,3,9808,8512,8776
12,0.0,4,7848,5336,5600
12,0.0,5,12672,15096,15360
13,0.0,1,17320,19968,20240
13,0.0,2,8376,4800,5088
13,0.0,3,12712,16744,17032
13,0.0,4,10000,8384,8672
13,0.0,5,8288,6512,6784
14,0.0,1,12232,9256,9584
14,0.0,2,21488,19064,19376
14,0.0,3,13384,22160,22456
14,0.0,4,14016,21320,21632
14,0.0,5,8800,8360,8672
15,0.0,1,11664,10712,11032
15,0.0,2,9320,12392,12728
15,0.0,3,18352,17032,17368
15,0.0,4,21544,18344,18680
15,0.0,5,27024,23480,23816
16,0.0,1,18528,22528,22904
16,0.0,2,19168,22312,22672
16,0.0,3,10192,11288,11664
16,0.0,4,16496,21768,22128
16,0.0,5,18968,15808,16152
17,0.0,1,21368,27016,27416
17,0.0,2,18000,16240,16640
17,0.0,3,17488,18112,18496
17,0.0,4,14312,13176,13560
17,0.0,5,20792,29496,29896
18,0.0,1,19184,17920,18344
18,0.0,2,19960,15504,15912
18,0.0,3,12760,12192,12600
18,0.0,4,19752,27488,27912
18,0.0,5,20200,14464,14872
19,0.0,1,16792,13280,13712
19,0.0,2,14008,13184,13616
19,0.0,3,15024,15776,16208
19,0.0,4,19800,16952,17384
19,0.0,5,15688,15192,15640
20,0.0,1,19040,15768,16240
20,0.0,2,19288,20056,20528
20,0.0,3,21664,25096,25568
20,0.0,4,17560,21760,22232
20,0.0,5,13712,12408,12864
21,0.0,1,26344,21480,21976
21,0.0,2,16560,13744,14224
21,0.0,3,28336,25752,26248
21,0.0,4,17632,19696,20176
21,0.0,5,18952,16256,16752
22,0.0,1,18376,19128,19648
22,0.0,2,27776,21392,21912
22,0.0,3,20568,22584,23104
22,0.0,4,14224,12112,12616
22,0.0,5,16200,15584,16104
23,0.0,1,31064,27456,28000
23,0.0,2,21976,18544,19088
23,0.0,3,26464,22680,23224
23,0.0,4,27224,24808,25352
23,0.0,5,27776,25184,25728
24,0.0,1,19512,17008,17560
24,0.0,2,46304,34840,35408
24,0.0,3,16648,18128,18696
24,0.0,4,17184,17384,17952
24,0.0,5,16104,19552,20120
25,0.0,1,26936,29288,29880
25,0.0,2,24040,18408,18984
25,0.0,3,32736,27328,27920
25,0.0,4,16032,12176,12752
25,0.0,5,25264,21552,22144
26,0.0,1,25784,18248,18848
26,0.0,2,20944,17984,18600
26,0.0,3,41656,35952,36568
26,0.0,4,31120,29912,30528
26,0.0,5,26416,23256,23872
27,0.0,1,43400,37344,37984
27,0.0,2,21760,15152,15776
27,0.0,3,30672,32664,33288
27,0.0,4,37912,30424,31064
27,0.0,5,24816,18352,18992
28,0.0,1,33560,43336,44000
28,0.0,2,30096,31280,31944
28,0.0,3,38912,32248,32912
28,0.0,4,39168,29224,29888
28,0.0,5,51600,41984,42648
29,0.0,1,32664,29312,30000
29,0.0,2,30112,24744,25432
29,0.0,3,17432,13824,14512
29,0.0,4,24688,16240,16928
29,0.0,5,44168,30120,30808
30,0.0,1,28896,19680,20376
30,0.0,2,27760,24040,24736
30,0.0,3,33376,26712,27424
30,0.0,4,47712,41040,41752
30,0.0,5,27344,21008,21720
31,0.0,1,42944,33384,34120
31,0.0,2,34368,32304,33040
31,0.0,3,49712,38792,39528
31,0.0,4,20728,24744,25480
31,0.0,5,19936,17272,18008
32,0.0,1,32944,26640,27400
32,0.0,2,25240,33592,34352
32,0.0,3,39224,33304,34048
32,0.0,4,20816,17792,18536
32,0.0,5,31320,33552,34312
33,0.0,1,49080,36352,37136
33,0.0,2,52192,40512,41296
33,0.0,3,27672,27120,27904
33,0.0,4,39608,35040,35824
33,0.0,5,56928,50464,51248
34,0.0,1,44280,38480,39288
34,0.0,2,41056,25896,26704
34,0.0,3,50224,47712,48520
34,0.0,4,45544,38600,39408
