N,P,X,Cmap,Parents,Children
100,0.0,1,253056,103720,106112
100,0.0,2,244312,99864,102256
100,0.0,3,278464,108424,110816
100,0.0,4,198440,92088,94480
100,0.0,5,367216,127064,129456
200,0.0,1,726816,168536,173328
200,0.0,2,754160,190016,194808
200,0.0,3,797928,189680,194472
200,0.0,4,895216,180888,185680
200,0.0,5,901408,187072,191864
300,0.0,1,2195288,300152,307344
300,0.0,2,1600856,269512,276704
300,0.0,3,1846256,284336,291528
300,0.0,4,1851056,253720,260912
300,0.0,5,1721384,282240,289432
100,0.1,1,267000,104944,107336
100,0.1,2,263400,126344,128736
100,0.1,3,204440,81088,83480
100,0.1,4,225256,88952,91344
100,0.1,5,204344,87952,90344
200,0.1,1,908720,232992,237784
200,0.1,2,863744,179968,184760
200,0.1,3,927336,181088,185880
200,0.1,4,743768,182496,187288
200,0.1,5,781520,189856,194648
300,0.1,1,1678648,268032,275224
300,0.1,2,2043552,311224,318416
300,0.1,3,1370008,263336,270528
300,0.1,4,1740968,294312,301504
300,0.1,5,1751056,255896,263088
100,0.2,1,189296,90008,92400
100,0.2,2,236800,82488,84880
100,0.2,3,165208,79344,81736
100,0.2,4,183760,72304,74696
100,0.2,5,212624,90496,92888
200,0.2,1,792800,182504,187296
200,0.2,2,703144,165672,170464
200,0.2,3,799240,177256,182048
200,0.2,4,988896,220744,225536
200,0.2,5,870112,206304,211096
300,0.2,1,2056976,318040,325232
300,0.2,2,1855624,270448,277640
300,0.2,3,1912072,307760,314952
300,0.2,4,1845272,285608,292800
300,0.2,5,1845264,325520,332712
100,0.3,1,222280,83960,86352
100,0.3,2,208072,73040,75432
100,0.3,3,205008,72120,74512
100,0.3,4,236296,104232,106624
100,0.3,5,208160,106616,109008
200,0.3,1,874472,183328,188120
200,0.3,2,907496,202896,207688
200,0.3,3,770632,181016,185808
200,0.3,4,658456,161944,166736
200,0.3,5,858224,190504,195296
300,0.3,1,1883440,292512,299704
300,0.3,2,1437016,244824,252016
300,0.3,3,1547848,254360,261552
300,0.3,4,2074952,280072,287264
300,0.3,5,1490648,250080,257272
100,0.4,1,280800,118520,120912
100,0.4,2,179768,80104,82496
100,0.4,3,191928,74560,76952
100,0.4,4,225640,102184,104576
100,0.4,5,204192,86704,89096
200,0.4,1,994048,214568,219360
200,0.4,2,814264,181656,186448
200,0.4,3,693928,153792,158584
200,0.4,4,580952,168008,172800
200,0.4,5,622952,141448,146240
300,0.4,1,1840768,295680,302872
300,0.4,2,2007792,311328,318520
300,0.4,3,1656040,256984,264176
300,0.4,4,1779016,277576,284768
300,0.4,5,1655184,282384,289576
100,0.5,1,260904,106704,109096
100,0.5,2,257032,113656,116048
100,0.5,3,241072,101528,103904
100,0.5,4,262112,107608,110000
100,0.5,5,288000,108320,110712
200,0.5,1,723448,165280,170072
200,0.5,2,630584,162800,167592
200,0.5,3,792408,195248,200040
200,0.5,4,943712,189424,194216
200,0.5,5,912336,193616,198408
300,0.5,1,1885936,267128,274320
300,0.5,2,1754256,291696,298888
300,0.5,3,1672976,288656,295848
300,0.5,4,2038560,288296,295488
300,0.5,5,1747568,258496,265688
100,0.6,1,247152,102088,104480
100,0.6,2,284672,93696,96088
100,0.6,3,264632,102616,105008
100,0.6,4,272568,102376,104768
100,0.6,5,227224,83136,85528
200,0.6,1,958880,191160,195952
200,0.6,2,798424,217368,222160
200,0.6,3,828840,207128,211920
200,0.6,4,717640,188208,193000
200,0.6,5,995320,218064,222856
300,0.6,1,1851160,267480,274672
300,0.6,2,1667680,272872,280064
300,0.6,3,1414784,297200,304392
300,0.6,4,1820056,309304,316496
300,0.6,5,1758936,301680,308872
100,0.7,1,236072,85200,87592
100,0.7,2,253824,98184,100576
100,0.7,3,280512,122512,124904
100,0.7,4,372800,141768,144160
100,0.7,5,261176,100416,102808
200,0.7,1,857336,176192,180984
200,0.7,2,738584,174264,179056
200,0.7,3,872480,206000,210792
200,0.7,4,954312,200176,204968
200,0.7,5,844328,190896,195688
300,0.7,1,1702400,256216,263408
300,0.7,2,2032856,297024,304216
300,0.7,3,1717576,245968,253160
300,0.7,4,1865248,285632,292824
300,0.7,5,1736712,273328,280520
100,0.8,1,200992,87240,89632
100,0.8,2,213256,84000,86392
100,0.8,3,159840,71248,73640
100,0.8,4,273088,97248,99640
100,0.8,5,209048,94368,96760
200,0.8,1,757672,166008,170800
200,0.8,2,1016624,210088,214880
200,0.8,3,717472,189008,193800
200,0.8,4,808752,201080,205872
200,0.8,5,814840,189376,194168
300,0.8,1,1972088,264880,272072
300,0.8,2,1793608,292160,299352
300,0.8,3,1875176,309728,316920
300,0.8,4,1916544,314576,321768
300,0.8,5,1800000,269104,276296
100,0.9,1,159760,71528,73920
100,0.9,2,195168,85976,88368
100,0.9,3,273472,118744,121136
100,0.9,4,333640,118624,121016
100,0.9,5,310256,118384,120776
200,0.9,1,869080,199800,204592
200,0.9,2,741176,158928,163720
200,0.9,3,942960,202000,206792
200,0.9,4,835056,181264,186056
200,0.9,5,860168,202904,207696
300,0.9,1,1973608,307176,314368
300,0.9,2,1764600,278128,285320
300,0.9,3,1750944,290680,297872
300,0.9,4,1852168,274848,282040
300,0.9,5,1694592,279360,286552
100,1.0,1,159072,78888,81280
100,1.0,2,182936,89168,91560
100,1.0,3,283904,103648,106040
100,1.0,4,207120,86000,88392
100,1.0,5,152464,71976,74368
200,1.0,1,979384,238320,243112
200,1.0,2,995640,194608,199400
200,1.0,3,700960,155888,160680
200,1.0,4,849632,198872,203664
200,1.0,5,676384,167720,172512
300,1.0,1,1731968,259216,266408
300,1.0,2,1904208,289768,296960
300,1.0,3,1477128,242272,249464
300,1.0,4,1879576,281368,288560
300,1.0,5,1792392,285224,292416
