N,P,X,Cmap,ExecEnv
1,0.0,1,4040,88
1,0.0,2,4056,88
1,0.0,3,4024,88
1,0.0,4,4040,88
1,0.0,5,4056,88
2,0.0,1,4232,464
2,0.0,2,4384,664
2,0.0,3,4352,872
2,0.0,4,4368,400
2,0.0,5,4320,864
3,0.0,1,4576,1248
3,0.0,2,4544,760
3,0.0,3,4408,616
3,0.0,4,4568,936
3,0.0,5,4648,792
4,0.0,1,4992,2096
4,0.0,2,4816,1432
4,0.0,3,7120,6088
4,0.0,4,4888,1248
4,0.0,5,4872,1128
5,0.0,1,7064,7648
5,0.0,2,5216,2128
5,0.0,3,6696,4688
5,0.0,4,5152,1608
5,0.0,5,5112,1824
6,0.0,1,7368,7208
6,0.0,2,7696,11888
6,0.0,3,5424,9744
6,0.0,4,5280,7936
6,0.0,5,5488,2616
7,0.0,1,7072,5520
7,0.0,2,12032,13352
7,0.0,3,7288,5632
7,0.0,4,5736,2768
7,0.0,5,9504,9824
8,0.0,1,8992,8712
8,0.0,2,8472,9800
8,0.0,3,11672,11080
8,0.0,4,8400,8712
8,0.0,5,6112,3552
9,0.0,1,10064,14560
9,0.0,2,9680,8880
9,0.0,3,12576,13328
9,0.0,4,6232,3456
9,0.0,5,7224,5520
10,0.0,1,8568,7336
10,0.0,2,7024,4824
10,0.0,3,7448,5760
10,0.0,4,9800,10528
10,0.0,5,6424,8416
11,0.0,1,8664,7816
11,0.0,2,7112,8016
11,0.0,3,12152,17440
11,0.0,4,19944,26800
11,0.0,5,6968,4952
12,0.0,1,9096,10616
12,0.0,2,11448,14560
12,0.0,3,9432,9256
12,0.0,4,7472,6080
12,0.0,5,12296,15840
13,0.0,1,16904,20752
13,0.0,2,7960,5600
13,0.0,3,12296,17544
13,0.0,4,9584,9184
13,0.0,5,7872,7296
14,0.0,1,11776,10128
14,0.0,2,21032,19920
14,0.0,3,12928,23000
14,0.0,4,13560,22176
14,0.0,5,8344,9216
15,0.0,1,11168,11608
15,0.0,2,8824,13304
15,0.0,3,17856,17944
15,0.0,4,21048,19256
15,0.0,5,26528,24392
16,0.0,1,17992,23512
16,0.0,2,18632,23280
16,0.0,3,9656,12272
16,0.0,4,15960,22736
16,0.0,5,18432,16760
17,0.0,1,20792,28056
17,0.0,2,17424,17280
17,0.0,3,16912,19136
17,0.0,4,13736,14200
17,0.0,5,20216,30536
18,0.0,1,18568,19016
18,0.0,2,19344,16584
18,0.0,3,12144,13272
18,0.0,4,19136,28584
18,0.0,5,19584,15544
19,0.0,1,16136,14416
19,0.0,2,13352,14320
19,0.0,3,14368,16912
19,0.0,4,19144,18088
19,0.0,5,15032,16344
20,0.0,1,18344,16976
20,0.0,2,18592,21264
20,0.0,3,20968,26304
20,0.0,4,16864,22968
20,0.0,5,13016,13600
21,0.0,1,25608,22744
21,0.0,2,15824,14992
21,0.0,3,27600,27016
21,0.0,4,16896,20944
21,0.0,5,18216,17520
22,0.0,1,17600,20448
22,0.0,2,27000,22712
22,0.0,3,19792,23904
22,0.0,4,13448,13416
22,0.0,5,15424,16904
23,0.0,1,30248,28832
23,0.0,2,21160,19920
23,0.0,3,25648,24056
23,0.0,4,26408,26184
23,0.0,5,26960,26560
24,0.0,1,18656,18424
24,0.0,2,45448,36272
24,0.0,3,15792,19560
