N,P,X,Cmap,ExecEnv
100,0.0,1,149736,109408
100,0.0,2,148088,105552
100,0.0,3,144592,114112
100,0.0,4,139880,97776
100,0.0,5,213752,132752
200,0.0,1,322096,179824
200,0.0,2,341536,201304
200,0.0,3,347400,200968
200,0.0,4,350520,192176
200,0.0,5,388992,198360
300,0.0,1,727304,317040
300,0.0,2,588784,286400
300,0.0,3,657168,301224
300,0.0,4,622240,270608
300,0.0,5,639800,299128
100,0.1,1,171360,110632
100,0.1,2,158480,132032
100,0.1,3,111168,86776
100,0.1,4,144512,94640
100,0.1,5,135464,93640
200,0.1,1,426624,244280
200,0.1,2,369088,191256
200,0.1,3,370624,192376
200,0.1,4,326560,193784
200,0.1,5,350520,201144
300,0.1,1,595752,284920
300,0.1,2,730064,328112
300,0.1,3,540264,280224
300,0.1,4,611200,311200
300,0.1,5,619312,272784
100,0.2,1,128072,95696
100,0.2,2,146976,88176
100,0.2,3,104816,85032
100,0.2,4,110632,77992
100,0.2,5,140848,96184
200,0.2,1,348296,193792
200,0.2,2,311824,176960
200,0.2,3,340304,188544
200,0.2,4,423240,232032
200,0.2,5,374080,217592
300,0.2,1,726368,334928
300,0.2,2,652416,287336
300,0.2,3,710968,324648
300,0.2,4,660528,302496
300,0.2,5,680344,342408
100,0.3,1,128552,89648
100,0.3,2,122912,78728
100,0.3,3,130488,77808
100,0.3,4,155496,109920
100,0.3,5,147120,112304
200,0.3,1,366456,194616
200,0.3,2,372384,214184
200,0.3,3,342696,192304
200,0.3,4,294568,173232
200,0.3,5,387680,201792
300,0.3,1,657384,309400
300,0.3,2,528248,261712
300,0.3,3,566064,271248
300,0.3,4,665496,296960
300,0.3,5,547960,266968
100,0.4,1,173368,124208
100,0.4,2,118272,85792
100,0.4,3,118768,80248
100,0.4,4,156384,107872
100,0.4,5,132024,92392
200,0.4,1,417992,225856
200,0.4,2,354712,192944
200,0.4,3,310288,165080
200,0.4,4,274344,179296
200,0.4,5,280520,152736
300,0.4,1,669872,312568
300,0.4,2,719848,328216
300,0.4,3,589432,273872
300,0.4,4,633288,294464
300,0.4,5,606760,299272
100,0.5,1,147368,112392
100,0.5,2,149912,119344
100,0.5,3,146064,107200
100,0.5,4,165064,113296
100,0.5,5,168008,114008
200,0.5,1,296944,176568
200,0.5,2,300688,174088
200,0.5,3,348920,206536
200,0.5,4,391840,200712
200,0.5,5,396208,204904
300,0.5,1,651344,284016
300,0.5,2,632112,308584
300,0.5,3,612216,305544
300,0.5,4,705080,305184
300,0.5,5,625880,275384
100,0.6,1,148872,107776
100,0.6,2,158776,99384
100,0.6,3,152064,108304
100,0.6,4,156768,108064
100,0.6,5,131048,88824
200,0.6,1,410528,202448
200,0.6,2,364240,228656
200,0.6,3,365272,218416
200,0.6,4,348616,199496
200,0.6,5,434920,229352
300,0.6,1,627312,284368
300,0.6,2,616784,289760
300,0.6,3,540584,314088
300,0.6,4,649752,326192
300,0.6,5,628176,318568
100,0.7,1,152216,90888
100,0.7,2,142816,103872
100,0.7,3,175472,128200
100,0.7,4,223616,147456
100,0.7,5,129120,106104
200,0.7,1,363056,187480
200,0.7,2,310240,185552
200,0.7,3,394944,217288
200,0.7,4,376320,211464
200,0.7,5,382576,202184
300,0.7,1,599680,273104
300,0.7,2,701488,313912
300,0.7,3,595896,262856
300,0.7,4,682264,302520
300,0.7,5,644064,290216
100,0.8,1,136584,92928
100,0.8,2,137808,89688
100,0.8,3,114320,76936
100,0.8,4,169016,102936
100,0.8,5,132240,100056
200,0.8,1,314752,177296
200,0.8,2,402624,221376
200,0.8,3,325200,200296
200,0.8,4,382528,212368
200,0.8,5,375280,200664
300,0.8,1,680128,281768
300,0.8,2,618904,309048
300,0.8,3,682448,326616
300,0.8,4,689568,331464
300,0.8,5,606016,285992
100,0.9,1,103592,77216
100,0.9,2,130472,91664
100,0.9,3,164216,124432
100,0.9,4,187456,124312
100,0.9,5,177576,124072
200,0.9,1,382968,211088
200,0.9,2,323144,170216
200,0.9,3,387472,213288
200,0.9,4,370888,192552
200,0.9,5,371592,214192
300,0.9,1,678304,324064
300,0.9,2,622744,295016
300,0.9,3,612752,307568
300,0.9,4,630792,291736
300,0.9,5,620336,296248
100,1.0,1,102984,84576
100,1.0,2,132144,94856
100,1.0,3,179432,109336
100,1.0,4,128520,91688
100,1.0,5,102960,77664
200,1.0,1,431544,249608
200,1.0,2,395952,205896
200,1.0,3,291648,167176
200,1.0,4,382376,210160
200,1.0,5,302960,179008
300,1.0,1,613224,276104
300,1.0,2,673408,306656
300,1.0,3,570952,259160
300,1.0,4,654496,298256
300,1.0,5,644544,302112
