N,P,X,History
1,0.0,1,4024
1,0.0,2,4008
1,0.0,3,4040
1,0.0,4,4040
1,0.0,5,4040
2,0.0,1,4528
2,0.0,2,4440
2,0.0,3,10008
2,0.0,4,4656
2,0.0,5,5272
3,0.0,1,5072
3,0.0,2,9752
3,0.0,3,5032
3,0.0,4,5248
3,0.0,5,4960
4,0.0,1,10560
4,0.0,2,5808
4,0.0,3,5472
4,0.0,4,5664
4,0.0,5,6424
5,0.0,1,5656
5,0.0,2,6408
5,0.0,3,6424
5,0.0,4,11576
5,0.0,5,6128
6,0.0,1,6904
6,0.0,2,15088
6,0.0,3,14312
6,0.0,4,12176
6,0.0,5,7656
7,0.0,1,9680
7,0.0,2,16120
7,0.0,3,26632
7,0.0,4,9144
7,0.0,5,11424
8,0.0,1,10360
8,0.0,2,12456
8,0.0,3,13248
8,0.0,4,13688
8,0.0,5,8720
9,0.0,1,20488
9,0.0,2,18440
9,0.0,3,11672
9,0.0,4,8392
9,0.0,5,22448
10,0.0,1,15112
10,0.0,2,18008
10,0.0,3,9224
10,0.0,4,19088
10,0.0,5,26080
11,0.0,1,9512
11,0.0,2,17352
11,0.0,3,17160
11,0.0,4,25216
11,0.0,5,13904
12,0.0,1,21224
12,0.0,2,20096
12,0.0,3,10488
12,0.0,4,24544
12,0.0,5,15920
13,0.0,1,21648
13,0.0,2,23944
13,0.0,3,16352
13,0.0,4,18784
13,0.0,5,17448
14,0.0,1,30168
14,0.0,2,11128
14,0.0,3,18776
14,0.0,4,16208
14,0.0,5,17432
15,0.0,1,44248
15,0.0,2,14456
15,0.0,3,23976
15,0.0,4,20528
15,0.0,5,25424
16,0.0,1,16960
16,0.0,2,23016
16,0.0,3,26592
16,0.0,4,29416
16,0.0,5,27408
17,0.0,1,37456
17,0.0,2,14616
17,0.0,3,30280
17,0.0,4,37584
17,0.0,5,28976
18,0.0,1,29208
18,0.0,2,24792
18,0.0,3,33320
18,0.0,4,46008
18,0.0,5,16008
19,0.0,1,21544
19,0.0,2,30536
19,0.0,3,24704
19,0.0,4,38408
19,0.0,5,41352
20,0.0,1,26368
20,0.0,2,25760
20,0.0,3,46184
20,0.0,4,18824
20,0.0,5,35184
21,0.0,1,48328
21,0.0,2,22616
21,0.0,3,25576
21,0.0,4,26008
21,0.0,5,41392
22,0.0,1,22640
22,0.0,2,33224
22,0.0,3,33584
22,0.0,4,67104
22,0.0,5,30728
23,0.0,1,48600
23,0.0,2,43856
23,0.0,3,24032
23,0.0,4,50744
23,0.0,5,52080
24,0.0,1,48920
24,0.0,2,54720
24,0.0,3,46264
24,0.0,4,44888
24,0.0,5,35872
25,0.0,1,44608
25,0.0,2,45960
25,0.0,3,19032
25,0.0,4,50856
25,0.0,5,38208
26,0.0,1,26472
