N,P,X,History
100,0.0,1,327488
100,0.0,2,316832
100,0.0,3,357776
100,0.0,4,260312
100,0.0,5,454720
200,0.0,1,844096
200,0.0,2,891696
200,0.0,3,931752
200,0.0,4,1023000
200,0.0,5,1029336
300,0.0,1,2404416
300,0.0,2,1792880
300,0.0,3,2047664
300,0.0,4,2024592
300,0.0,5,1921568
100,0.1,1,339416
100,0.1,2,354800
100,0.1,3,259320
100,0.1,4,285984
100,0.1,5,266448
200,0.1,1,1078600
200,0.1,2,989048
200,0.1,3,1050320
200,0.1,4,874632
200,0.1,5,916800
300,0.1,1,1869336
300,0.1,2,2266400
300,0.1,3,1559896
300,0.1,4,1953992
300,0.1,5,1927536
100,0.2,1,252952
100,0.2,2,293128
100,0.2,3,223440
100,0.2,4,234520
100,0.2,5,275432
200,0.2,1,921912
200,0.2,2,821320
200,0.2,3,925680
200,0.2,4,1147616
200,0.2,5,1020456
300,0.2,1,2284288
300,0.2,2,2041328
300,0.2,3,2130296
300,0.2,4,2046224
300,0.2,5,2082432
100,0.3,1,280024
100,0.3,2,255064
100,0.3,3,252600
100,0.3,4,311576
100,0.3,5,286632
200,0.3,1,1001400
200,0.3,2,1053192
200,0.3,3,899392
200,0.3,4,773760
200,0.3,5,992576
300,0.3,1,2095912
300,0.3,2,1606480
300,0.3,3,1725176
300,0.3,4,2273704
300,0.3,5,1666648
100,0.4,1,365384
100,0.4,2,235656
100,0.4,3,242792
100,0.4,4,296904
100,0.4,5,265872
200,0.4,1,1143584
200,0.4,2,941736
200,0.4,3,796872
200,0.4,4,703152
200,0.4,5,719888
300,0.4,1,2052120
300,0.4,2,2230128
300,0.4,3,1836408
300,0.4,4,1977680
300,0.4,5,1854496
100,0.5,1,339144
100,0.5,2,340240
100,0.5,3,313672
100,0.5,4,338424
100,0.5,5,364008
200,0.5,1,838664
200,0.5,2,746120
200,0.5,3,933824
200,0.5,4,1074056
200,0.5,5,1046752
300,0.5,1,2071592
300,0.5,2,1960856
300,0.5,3,1880544
300,0.5,4,2238704
300,0.5,5,1925440
100,0.6,1,319272
100,0.6,2,349320
100,0.6,3,339056
100,0.6,4,343456
100,0.6,5,285264
200,0.6,1,1090368
200,0.6,2,958088
200,0.6,3,980256
200,0.6,4,852360
200,0.6,5,1149184
300,0.6,1,2038728
300,0.6,2,1862568
300,0.6,3,1639832
300,0.6,4,2040248
300,0.6,5,1977552
100,0.7,1,293640
100,0.7,2,322976
100,0.7,3,370352
100,0.7,4,475280
100,0.7,5,334184
200,0.7,1,979880
200,0.7,2,865000
200,0.7,3,1021216
200,0.7,4,1098936
200,0.7,5,976928
300,0.7,1,1880512
300,0.7,2,2238872
300,0.7,3,1888824
300,0.7,4,2068424
300,0.7,5,1929176
100,0.8,1,261024
100,0.8,2,271024
100,0.8,3,207784
100,0.8,4,338272
100,0.8,5,275944
200,0.8,1,873568
200,0.8,2,1167760
200,0.8,3,853440
200,0.8,4,950000
200,0.8,5,946936
300,0.8,1,2155896
300,0.8,2,2003968
300,0.8,3,2096776
300,0.8,4,2143520
300,0.8,5,1991528
100,0.9,1,209360
100,0.9,2,255840
100,0.9,3,359864
100,0.9,4,415264
100,0.9,5,392968
200,0.9,1,1010568
200,0.9,2,849232
200,0.9,3,1086432
200,0.9,4,961056
200,0.9,5,1006440
300,0.9,1,2193144
300,0.9,2,1959360
300,0.9,3,1962976
300,0.9,4,2045368
300,0.9,5,1893312
100,1.0,1,216544
100,1.0,2,246696
100,1.0,3,357624
100,1.0,4,270672
100,1.0,5,202928
200,1.0,1,1150736
200,1.0,2,1132992
200,1.0,3,809824
200,1.0,4,990080
200,1.0,5,795720
300,1.0,1,1913416
300,1.0,2,2109016
300,1.0,3,1648472
300,1.0,4,2075712
300,1.0,5,1993880
