N,P,X,Filesize,Cachesize
1,0.0,1,12288,16
1,0.0,2,12288,16
1,0.0,3,12288,16
1,0.0,4,12288,16
1,0.0,5,12288,16
2,0.0,1,12288,4456
2,0.0,2,12288,4912
2,0.0,3,12288,4816
2,0.0,4,12288,4472
2,0.0,5,12288,4792
3,0.0,1,12288,5216
3,0.0,2,12288,4944
3,0.0,3,12288,4832
3,0.0,4,12288,4936
3,0.0,5,12288,4960
4,0.0,1,12288,6048
4,0.0,2,12288,5416
4,0.0,3,12288,11048
4,0.0,4,12288,5280
4,0.0,5,12288,5504
5,0.0,1,12288,12296
5,0.0,2,12288,6152
5,0.0,3,12288,9032
5,0.0,4,12288,5816
5,0.0,5,12288,5832
6,0.0,1,12288,12096
6,0.0,2,12288,17024
6,0.0,3,12288,14064
6,0.0,4,12288,12096
6,0.0,5,12288,6816
7,0.0,1,12288,10112
7,0.0,2,12288,21064
7,0.0,3,12288,10904
7,0.0,4,12288,6976
7,0.0,5,12288,16096
8,0.0,1,12288,14944
8,0.0,2,12288,14904
8,0.0,3,12288,18200
8,0.0,4,12288,14168
8,0.0,5,12288,7952
9,0.0,1,12288,20912
9,0.0,2,12288,15032
9,0.0,3,12288,21264
9,0.0,4,12288,8304
9,0.0,5,12288,10384
10,0.0,1,12288,12904
10,0.0,2,12288,9408
10,0.0,3,12288,10824
10,0.0,4,12288,15984
10,0.0,5,12288,13048
11,0.0,1,12288,13240
11,0.0,2,12288,12904
11,0.0,3,12288,24696
11,0.0,4,12288,39136
11,0.0,5,12288,9680
12,0.0,1,12288,16112
12,0.0,2,12288,20760
12,0.0,3,12288,14968
12,0.0,4,12288,10424
12,0.0,5,12288,23152
13,0.0,1,12288,25968
13,0.0,2,12288,9952
13,0.0,3,12288,24064
13,0.0,4,12288,14136
13,0.0,5,12288,11384
14,0.0,1,12288,16376
14,0.0,2,12288,24784
14,0.0,3,12288,29936
14,0.0,4,12288,28344
14,0.0,5,12288,9944
15,0.0,1,12288,16160
15,0.0,2,12288,10784
15,0.0,3,12288,26808
15,0.0,4,12288,26520
15,0.0,5,20480,31680
16,0.0,1,20480,29312
16,0.0,2,12288,26536
16,0.0,3,12288,13208
16,0.0,4,12288,15344
16,0.0,5,12288,26280
17,0.0,1,20480,26688
17,0.0,2,12288,20688
17,0.0,3,12288,22872
17,0.0,4,12288,19840
17,0.0,5,20480,36992
18,0.0,1,20480,18504
18,0.0,2,12288,18248
18,0.0,3,12288,17072
18,0.0,4,20480,32040
18,0.0,5,12288,16704
19,0.0,1,12288,13592
19,0.0,2,12288,19408
19,0.0,3,12288,17800
19,0.0,4,12288,24040
19,0.0,5,12288,22456
20,0.0,1,12288,21128
20,0.0,2,20480,21624
20,0.0,3,20480,34064
20,0.0,4,20480,27576
20,0.0,5,12288,16872
21,0.0,1,20480,25784
21,0.0,2,20480,20584
21,0.0,3,20480,35728
21,0.0,4,20480,22312
21,0.0,5,20480,23544
22,0.0,1,20480,25400
22,0.0,2,20480,28728
22,0.0,3,20480,27944
22,0.0,4,12288,14088
22,0.0,5,20480,20384
23,0.0,1,20480,28848
23,0.0,2,20480,21744
23,0.0,3,20480,28088
23,0.0,4,20480,23856
23,0.0,5,20480,29200
24,0.0,1,20480,15952
24,0.0,2,20480,35872
24,0.0,3,20480,23008
24,0.0,4,20480,19608
24,0.0,5,20480,20680
25,0.0,1,20480,28664
25,0.0,2,20480,21096
25,0.0,3,20480,33672
25,0.0,4,12288,15744
25,0.0,5,20480,20808
26,0.0,1,20480,23984
26,0.0,2,20480,17856
26,0.0,3,20480,27840
26,0.0,4,20480,22472
26,0.0,5,20480,24024
27,0.0,1,20480,31784
27,0.0,2,20480,18912
27,0.0,3,20480,35504
27,0.0,4,20480,31104
27,0.0,5,20480,17480
28,0.0,1,20480,35160
28,0.0,2,20480,28648
28,0.0,3,20480,34232
28,0.0,4,20480,28144
28,0.0,5,24576,45720
29,0.0,1,20480,36464
29,0.0,2,20480,23464
29,0.0,3,20480,13416
29,0.0,4,20480,17152
29,0.0,5,20480,35800
30,0.0,1,20480,23728
30,0.0,2,20480,29520
30,0.0,3,20480,23152
30,0.0,4,20480,39088
30,0.0,5,20480,23592
31,0.0,1,20480,29304
31,0.0,2,20480,29952
31,0.0,3,20480,32520
31,0.0,4,20480,24856
31,0.0,5,20480,14272
32,0.0,1,20480,23392
32,0.0,2,20480,29848
32,0.0,3,20480,35744
32,0.0,4,20480,21536
32,0.0,5,20480,30192
33,0.0,1,20480,30232
33,0.0,2,24576,35512
33,0.0,3,20480,25672
33,0.0,4,20480,36744
33,0.0,5,24576,46040
34,0.0,1,24576,31000
34,0.0,2,20480,24624
34,0.0,3,24576,42448
34,0.0,4,20480,42216
34,0.0,5,20480,23296
35,0.0,1,24576,38280
35,0.0,2,20480,26960
35,0.0,3,20480,16016
35,0.0,4,20480,33056
35,0.0,5,24576,30120
36,0.0,1,20480,29664
36,0.0,2,20480,21208
36,0.0,3,20480,22128
36,0.0,4,20480,23152
36,0.0,5,24576,36656
37,0.0,1,20480,27080
37,0.0,2,20480,29696
37,0.0,3,20480,19224
37,0.0,4,24576,37968
37,0.0,5,24576,37792
38,0.0,1,20480,28736
38,0.0,2,20480,22640
38,0.0,3,24576,47504
38,0.0,4,20480,24512
38,0.0,5,24576,38120
39,0.0,1,24576,32192
39,0.0,2,24576,38640
39,0.0,3,24576,24896
39,0.0,4,24576,31936
39,0.0,5,24576,34480
40,0.0,1,24576,25376
40,0.0,2,24576,35624
40,0.0,3,20480,26744
40,0.0,4,24576,44792
40,0.0,5,24576,50560
41,0.0,1,24576,39568
41,0.0,2,24576,38984
