N,P,X,Filesize,Cachesize
100,0.0,1,36864,58224
100,0.0,2,36864,40944
100,0.0,3,36864,57168
100,0.0,4,45056,76192
100,0.0,5,40960,68800
200,0.0,1,81920,107552
200,0.0,2,77824,142800
200,0.0,3,73728,125880
200,0.0,4,73728,118080
200,0.0,5,77824,152232
300,0.0,1,118784,185664
300,0.0,2,110592,136416
300,0.0,3,118784,178664
300,0.0,4,118784,199800
300,0.0,5,106496,184784
100,0.1,1,40960,76216
100,0.1,2,40960,63512
100,0.1,3,40960,137392
100,0.1,4,45056,102160
100,0.1,5,40960,65504
200,0.1,1,77824,174760
200,0.1,2,69632,129040
200,0.1,3,73728,137488
200,0.1,4,77824,119200
200,0.1,5,69632,130880
300,0.1,1,114688,196624
300,0.1,2,114688,199672
300,0.1,3,114688,177256
300,0.1,4,110592,129328
300,0.1,5,118784,268160
100,0.2,1,40960,72008
100,0.2,2,45056,204000
100,0.2,3,45056,114720
100,0.2,4,40960,189552
100,0.2,5,40960,128792
200,0.2,1,73728,205232
200,0.2,2,69632,111944
200,0.2,3,77824,248160
200,0.2,4,73728,109152
200,0.2,5,73728,264704
300,0.2,1,118784,457120
300,0.2,2,122880,204480
300,0.2,3,102400,182944
300,0.2,4,110592,172104
300,0.2,5,114688,411944
100,0.3,1,40960,153320
100,0.3,2,45056,104352
100,0.3,3,36864,53840
100,0.3,4,36864,88680
100,0.3,5,36864,62048
200,0.3,1,69632,126352
200,0.3,2,69632,252120
200,0.3,3,81920,246688
200,0.3,4,69632,205512
200,0.3,5,73728,253008
300,0.3,1,110592,341440
300,0.3,2,118784,170712
300,0.3,3,114688,285664
300,0.3,4,122880,204328
300,0.3,5,110592,163496
100,0.4,1,40960,63768
100,0.4,2,36864,97648
100,0.4,3,40960,102496
100,0.4,4,40960,136104
100,0.4,5,36864,103024
200,0.4,1,69632,171872
200,0.4,2,77824,371720
200,0.4,3,77824,162240
200,0.4,4,77824,265744
200,0.4,5,73728,127728
300,0.4,1,110592,376680
300,0.4,2,122880,310192
300,0.4,3,114688,199392
300,0.4,4,114688,394856
300,0.4,5,114688,515616
100,0.5,1,40960,125160
100,0.5,2,40960,127400
100,0.5,3,36864,137872
100,0.5,4,36864,158784
100,0.5,5,36864,188320
200,0.5,1,73728,283752
200,0.5,2,77824,211424
200,0.5,3,77824,324856
200,0.5,4,69632,187112
200,0.5,5,73728,327232
300,0.5,1,106496,348896
300,0.5,2,122880,223464
300,0.5,3,118784,349312
300,0.5,4,110592,371464
300,0.5,5,118784,379672
100,0.6,1,36864,74528
100,0.6,2,40960,143408
100,0.6,3,36864,173688
100,0.6,4,36864,84624
100,0.6,5,40960,174984
200,0.6,1,69632,221216
200,0.6,2,73728,139512
200,0.6,3,69632,198640
200,0.6,4,77824,191256
200,0.6,5,73728,200336
300,0.6,1,106496,264976
300,0.6,2,114688,441888
300,0.6,3,114688,333792
300,0.6,4,110592,277744
300,0.6,5,110592,331456
100,0.7,1,36864,135624
100,0.7,2,36864,152264
100,0.7,3,36864,116112
100,0.7,4,40960,122576
100,0.7,5,36864,97064
200,0.7,1,65536,203424
200,0.7,2,69632,171864
200,0.7,3,77824,175928
200,0.7,4,73728,302144
200,0.7,5,73728,150304
300,0.7,1,122880,445744
300,0.7,2,114688,388048
300,0.7,3,114688,239664
300,0.7,4,110592,236904
300,0.7,5,110592,563616
100,0.8,1,45056,212368
100,0.8,2,36864,99840
100,0.8,3,40960,96480
100,0.8,4,36864,123760
100,0.8,5,40960,107136
200,0.8,1,81920,215456
200,0.8,2,73728,275048
200,0.8,3,73728,278976
200,0.8,4,73728,349792
200,0.8,5,73728,225648
300,0.8,1,110592,321832
300,0.8,2,110592,365872
300,0.8,3,114688,250360
300,0.8,4,110592,489624
300,0.8,5,106496,297696
100,0.9,1,36864,150664
100,0.9,2,36864,100280
100,0.9,3,40960,230736
100,0.9,4,36864,129152
100,0.9,5,36864,123408
200,0.9,1,73728,230936
200,0.9,2,69632,238272
200,0.9,3,73728,233160
200,0.9,4,73728,372856
200,0.9,5,73728,278440
300,0.9,1,110592,143368
300,0.9,2,114688,409424
300,0.9,3,102400,191216
300,0.9,4,110592,221352
300,0.9,5,102400,299232
100,1.0,1,40960,261328
100,1.0,2,45056,162504
100,1.0,3,36864,89656
100,1.0,4,36864,178808
100,1.0,5,40960,118376
200,1.0,1,73728,202616
200,1.0,2,73728,249152
200,1.0,3,73728,352576
200,1.0,4,73728,327096
200,1.0,5,77824,428880
300,1.0,1,126976,534456
300,1.0,2,106496,349176
300,1.0,3,122880,399592
300,1.0,4,110592,307576
300,1.0,5,118784,487840
