N,P,X,Cmap,Parents,Children
1,0.0,1,1992,16,16
1,0.0,2,1992,16,16
1,0.0,3,1992,16,16
1,0.0,4,1992,16,16
1,0.0,5,1992,16,16
2,0.0,1,2080,496,520
2,0.0,2,2056,280,304
2,0.0,3,4416,5472,5496
2,0.0,4,2184,624,648
2,0.0,5,3976,2152,2176
3,0.0,1,2488,2072,2120
3,0.0,2,2624,1792,1840
3,0.0,3,2616,2912,2960
3,0.0,4,2144,856,904
3,0.0,5,2144,2520,2568
4,0.0,1,2624,3504,3576
4,0.0,2,2728,1832,1904
4,0.0,3,5416,4176,4264
4,0.0,4,2352,1440,1512
4,0.0,5,2728,2128,2200
5,0.0,1,2456,3216,3328
5,0.0,2,2248,3448,3544
5,0.0,3,2416,4464,4560
5,0.0,4,2480,2736,2832
5,0.0,5,4424,3512,3608
6,0.0,1,5128,5888,6024
6,0.0,2,3592,3080,3200
6,0.0,3,2312,1272,1392
6,0.0,4,3120,2544,2664
6,0.0,5,5200,5624,5744
7,0.0,1,3072,3976,4136
7,0.0,2,4400,5736,5880
7,0.0,3,4504,7248,7408
7,0.0,4,2640,4456,4600
7,0.0,5,4056,4976,5136
8,0.0,1,3040,4672,4856
8,0.0,2,2792,5616,5800
8,0.0,3,3904,6104,6288
8,0.0,4,3704,3368,3536
8,0.0,5,3912,6976,7160
9,0.0,1,4240,6184,6392
9,0.0,2,4632,6792,6984
9,0.0,3,5592,7136,7344
9,0.0,4,3840,6272,6464
9,0.0,5,4728,6320,6512
10,0.0,1,7320,8096,8328
10,0.0,2,4336,7880,8112
10,0.0,3,7968,9440,9656
10,0.0,4,2936,5280,5496
10,0.0,5,3288,4848,5064
11,0.0,1,5752,8152,8376
11,0.0,2,8056,10144,10400
11,0.0,3,5792,6656,6912
11,0.0,4,4880,7080,7336
11,0.0,5,4416,5648,5888
12,0.0,1,6344,8296,8576
12,0.0,2,4472,6096,6360
12,0.0,3,3824,8976,9240
12,0.0,4,4024,6808,7072
12,0.0,5,6736,14440,14720
13,0.0,1,5264,8496,8784
13,0.0,2,4600,11280,11584
13,0.0,3,4400,9808,10112
13,0.0,4,5784,8704,9008
13,0.0,5,4624,8104,8408
14,0.0,1,6936,11368,11680
14,0.0,2,5280,7080,7408
14,0.0,3,8360,11240,11568
14,0.0,4,7840,13160,13488
14,0.0,5,6000,7536,7864
15,0.0,1,6320,9152,9488
15,0.0,2,8488,10072,10424
15,0.0,3,6216,7384,7736
15,0.0,4,6872,9296,9616
15,0.0,5,4600,14360,14712
16,0.0,1,6000,8832,9208
16,0.0,2,8352,14632,15008
16,0.0,3,5744,9568,9944
16,0.0,4,9264,11464,11840
16,0.0,5,6312,10064,10440
17,0.0,1,9088,16664,17064
17,0.0,2,5808,12000,12400
17,0.0,3,7040,12336,12736
17,0.0,4,5424,8168,8552
17,0.0,5,6392,11008,11408
18,0.0,1,8296,13448,13872
18,0.0,2,7416,10520,10944
18,0.0,3,9984,13856,14280
18,0.0,4,6888,11184,11608
18,0.0,5,9536,12688,13112
19,0.0,1,8128,10248,10696
19,0.0,2,5464,11584,12032
19,0.0,3,10040,13224,13672
19,0.0,4,11424,15016,15464
19,0.0,5,3872,9552,10000
20,0.0,1,7904,14192,14664
20,0.0,2,5200,12384,12856
20,0.0,3,11624,15832,16304
20,0.0,4,8768,12936,13408
20,0.0,5,7800,16320,16792
21,0.0,1,8568,13040,13536
21,0.0,2,6584,16416,16912
21,0.0,3,9200,13744,14240
21,0.0,4,9400,13912,14408
21,0.0,5,8488,18624,19120
22,0.0,1,6328,18808,19328
22,0.0,2,9440,14824,15344
22,0.0,3,11696,17664,18184
22,0.0,4,11200,15376,15896
22,0.0,5,9048,17952,18472
23,0.0,1,9152,14416,14960
23,0.0,2,6408,13584,14128
23,0.0,3,9848,16080,16624
23,0.0,4,7496,15024,15568
23,0.0,5,7056,16472,17016
24,0.0,1,10104,15904,16472
24,0.0,2,9048,17712,18280
24,0.0,3,13224,21864,22432
24,0.0,4,11584,15256,15824
24,0.0,5,13456,18760,19328
25,0.0,1,9848,21072,21664
