N,P,X,Cmap,Parents,Children
100,0.0,1,38920,79040,81432
100,0.0,2,37304,68496,70888
100,0.0,3,34768,66872,69264
100,0.0,4,46192,70400,72792
100,0.0,5,30792,67832,70224
200,0.0,1,113640,135328,140120
200,0.0,2,82256,132792,137584
200,0.0,3,84688,135064,139856
200,0.0,4,82328,131808,136600
200,0.0,5,87864,146304,151096
300,0.0,1,149248,213728,220920
300,0.0,2,136232,183384,190576
300,0.0,3,150360,203952,211144
300,0.0,4,150440,204728,211920
300,0.0,5,160760,210112,217304
400,0.0,1,261816,278640,288232
400,0.0,2,225336,282944,292536
400,0.0,3,264280,266456,276048
400,0.0,4,226472,260736,270328
400,0.0,5,255168,293752,303344
500,0.0,1,308384,347048,359040
500,0.0,2,365392,353224,365216
500,0.0,3,296488,347296,359288
500,0.0,4,325552,312584,324576
500,0.0,5,398736,373552,385544
100,0.1,1,35000,64344,66736
100,0.1,2,44368,67392,69784
100,0.1,3,41344,76904,79296
100,0.1,4,37672,67080,69472
100,0.1,5,40104,70800,73192
200,0.1,1,115384,149224,154016
200,0.1,2,93304,126704,131496
200,0.1,3,97544,145328,150120
200,0.1,4,99232,134888,139680
200,0.1,5,79960,130336,135128
300,0.1,1,163568,215360,222552
300,0.1,2,182376,226640,233832
300,0.1,3,156408,201704,208896
300,0.1,4,174712,186248,193440
300,0.1,5,151712,206456,213648
400,0.1,1,269056,262488,272080
400,0.1,2,269352,268824,278416
400,0.1,3,225176,277344,286936
400,0.1,4,230088,283752,293344
400,0.1,5,250808,276240,285832
500,0.1,1,355040,338152,350144
500,0.1,2,262288,334768,346760
500,0.1,3,451416,359856,371848
500,0.1,4,369000,353240,365232
500,0.1,5,386392,345064,357056
100,0.2,1,36608,70680,73072
100,0.2,2,35464,65960,68352
100,0.2,3,30104,69560,71952
100,0.2,4,37736,68448,70840
100,0.2,5,45208,69240,71632
200,0.2,1,103192,139928,144720
200,0.2,2,92744,124448,129240
200,0.2,3,96440,150056,154848
200,0.2,4,74312,133752,138544
200,0.2,5,84696,132472,137264
300,0.2,1,156624,203864,211056
300,0.2,2,128432,192440,199632
300,0.2,3,175568,191520,198712
300,0.2,4,156960,216256,223448
300,0.2,5,164440,204424,211616
400,0.2,1,262008,269344,278936
400,0.2,2,210240,264624,274216
400,0.2,3,253488,247152,256744
400,0.2,4,239640,259776,269368
400,0.2,5,234960,270984,280576
500,0.2,1,316728,350416,362408
