N,P,X,Cmap,Parents,Children
100,0.0,1,43504,73728,76120
100,0.0,2,42368,67520,69912
100,0.0,3,35728,70824,73216
100,0.0,4,42256,85120,87512
100,0.0,5,38584,66168,68560
200,0.0,1,87896,130456,135248
200,0.0,2,96376,141600,146392
200,0.0,3,101616,126688,131480
200,0.0,4,101576,133816,138608
200,0.0,5,92528,141424,146216
300,0.0,1,185136,217504,224696
300,0.0,2,156896,202120,209312
300,0.0,3,169832,223896,231088
300,0.0,4,180432,206600,213792
300,0.0,5,152992,201848,209040
400,0.0,1,218240,267744,277336
400,0.0,2,205280,252664,262256
400,0.0,3,246704,280768,290360
400,0.0,4,266760,276184,285776
400,0.0,5,201216,242704,252296
500,0.0,1,327528,356288,368280
500,0.0,2,359024,359880,371872
500,0.0,3,280280,334960,346952
500,0.0,4,394448,356152,368144
500,0.0,5,304672,339752,351744
100,0.1,1,31360,52608,55000
100,0.1,2,43896,69000,71392
100,0.1,3,38024,63776,66168
100,0.1,4,39320,70432,72824
100,0.1,5,42008,67496,69888
200,0.1,1,94336,143920,148712
200,0.1,2,85440,137232,142024
200,0.1,3,79912,133992,138784
200,0.1,4,101152,132608,137400
200,0.1,5,97896,125856,130648
300,0.1,1,176280,213888,221080
300,0.1,2,147264,195680,202872
300,0.1,3,167320,184616,191808
300,0.1,4,144488,199072,206264
300,0.1,5,146592,202112,209304
400,0.1,1,201256,241544,251136
400,0.1,2,229736,268520,278112
400,0.1,3,237616,292792,302384
400,0.1,4,185992,261040,270632
400,0.1,5,245824,274264,283856
500,0.1,1,348152,337192,349184
500,0.1,2,321608,347288,359280
500,0.1,3,328552,339528,351520
500,0.1,4,265832,315240,327232
500,0.1,5,335384,347648,359640
100,0.2,1,37976,63848,66240
100,0.2,2,35920,68608,71000
100,0.2,3,43816,71160,73552
100,0.2,4,50208,66744,69136
100,0.2,5,43024,71520,73912
200,0.2,1,108616,132200,136992
200,0.2,2,90560,140624,145416
200,0.2,3,93504,137456,142248
200,0.2,4,89048,132824,137616
200,0.2,5,101592,138000,142792
300,0.2,1,154472,198432,205624
300,0.2,2,174816,198160,205352
300,0.2,3,180808,210800,217992
300,0.2,4,171152,219008,226200
300,0.2,5,170616,206592,213784
400,0.2,1,258360,268944,278536
400,0.2,2,238576,277056,286648
400,0.2,3,247176,266424,276016
400,0.2,4,280832,283616,293208
400,0.2,5,282272,271600,281192
500,0.2,1,334408,341080,353072
500,0.2,2,321160,328824,340816
500,0.2,3,342480,341616,353608
500,0.2,4,328296,330232,342224
500,0.2,5,331240,326544,338536
100,0.3,1,39704,74392,76784
100,0.3,2,38360,65960,68352
100,0.3,3,41608,70552,72944
100,0.3,4,54816,90888,93280
100,0.3,5,42656,74800,77192
200,0.3,1,95736,143152,147944
200,0.3,2,94288,138960,143752
200,0.3,3,120440,149600,154392
200,0.3,4,82168,133160,137952
200,0.3,5,90552,123928,128720
300,0.3,1,167112,199808,207000
300,0.3,2,164600,198816,206008
300,0.3,3,137488,195520,202712
