N,P,X,Cmap,ExecEnv
1,0.0,1,2008,88
1,0.0,2,2008,88
1,0.0,3,2008,88
1,0.0,4,2008,88
1,0.0,5,2008,88
2,0.0,1,2104,680
2,0.0,2,2104,464
2,0.0,3,13168,5656
2,0.0,4,2392,808
2,0.0,5,10120,2336
3,0.0,1,2848,2312
3,0.0,2,3224,2032
3,0.0,3,2952,3152
3,0.0,4,2200,1096
3,0.0,5,2200,2760
4,0.0,1,3048,3800
4,0.0,2,3048,2128
4,0.0,3,12208,4488
4,0.0,4,2584,1736
4,0.0,5,3048,2424
5,0.0,1,2680,3584
5,0.0,2,2392,3800
5,0.0,3,2680,4816
5,0.0,4,2680,3088
5,0.0,5,12104,3864
6,0.0,1,21192,6312
6,0.0,2,5640,3488
6,0.0,3,2488,1680
6,0.0,4,3760,2952
6,0.0,5,8648,6032
7,0.0,1,4560,4456
7,0.0,2,6592,6200
7,0.0,3,8072,7728
7,0.0,4,3272,4920
7,0.0,5,7728,5456
8,0.0,1,4672,5208
8,0.0,2,3664,6152
8,0.0,3,5856,6640
8,0.0,4,4384,3888
8,0.0,5,5944,7512
9,0.0,1,9376,6776
9,0.0,2,6592,7368
9,0.0,3,13208,7728
9,0.0,4,5616,6848
9,0.0,5,6408,6896
10,0.0,1,27176,8744
10,0.0,2,7352,8528
10,0.0,3,16112,10072
10,0.0,4,3576,5912
10,0.0,5,4184,5480
11,0.0,1,9328,8824
11,0.0,2,20432,10848
11,0.0,3,11536,7360
11,0.0,4,9304,7784
11,0.0,5,5120,6336
12,0.0,1,10800,9056
12,0.0,2,6488,6840
12,0.0,3,7048,9720
12,0.0,4,6528,7552
12,0.0,5,14104,15200
13,0.0,1,7288,9296
13,0.0,2,10040,12096
13,0.0,3,6016,10624
13,0.0,4,9792,9520
13,0.0,5,7112,8920
14,0.0,1,21912,12224
14,0.0,2,7744,7952
14,0.0,3,21400,12112
14,0.0,4,19384,14032
14,0.0,5,12144,8408
15,0.0,1,14016,10064
15,0.0,2,19352,11000
15,0.0,3,10024,8312
15,0.0,4,10608,10192
15,0.0,5,7864,15288
16,0.0,1,12496,9816
16,0.0,2,28648,15616
16,0.0,3,10496,10552
16,0.0,4,24944,12448
16,0.0,5,11904,11048
17,0.0,1,20128,17704
17,0.0,2,9872,13040
17,0.0,3,14240,13376
17,0.0,4,9520,9192
17,0.0,5,12496,12048
18,0.0,1,13904,14544
18,0.0,2,14608,11616
18,0.0,3,34600,14952
18,0.0,4,13696,12280
18,0.0,5,26616,13784
19,0.0,1,22664,11400
19,0.0,2,7296,12736
19,0.0,3,26520,14376
19,0.0,4,38584,16168
19,0.0,5,5320,10704
20,0.0,1,10752,15400
20,0.0,2,8680,13592
20,0.0,3,36392,17040
20,0.0,4,21688,14144
20,0.0,5,14008,17528
21,0.0,1,17680,14304
21,0.0,2,11248,17680
21,0.0,3,32912,15008
21,0.0,4,18128,15176
21,0.0,5,17336,19888
22,0.0,1,12064,20128
22,0.0,2,18416,16144
22,0.0,3,35424,18984
22,0.0,4,20744,16696
22,0.0,5,18672,19272
23,0.0,1,18696,15792
23,0.0,2,10768,14960
23,0.0,3,15048,17456
23,0.0,4,13272,16400
23,0.0,5,12312,17848
24,0.0,1,21512,17336
24,0.0,2,14712,19144
24,0.0,3,27520,23296
24,0.0,4,26832,16688
24,0.0,5,32352,20192
25,0.0,1,31624,22560
25,0.0,2,29800,22712
25,0.0,3,44456,27080
25,0.0,4,27136,20432
25,0.0,5,38752,19752
26,0.0,1,13856,15648
26,0.0,2,16992,21968
26,0.0,3,14576,18104
26,0.0,4,13328,23288
26,0.0,5,16912,15376
27,0.0,1,27928,20784
27,0.0,2,14896,17712
27,0.0,3,24784,23000
27,0.0,4,41592,22616
27,0.0,5,18720,22656
28,0.0,1,44112,24040
28,0.0,2,36464,21552
28,0.0,3,14144,18424
28,0.0,4,14392,19784
28,0.0,5,24000,18968
29,0.0,1,15232,24048
29,0.0,2,24632,21376
29,0.0,3,19288,17128
29,0.0,4,32576,26360
29,0.0,5,37312,18448
30,0.0,1,17136,18384
30,0.0,2,39648,27504
30,0.0,3,13768,21736
30,0.0,4,29152,24920
30,0.0,5,17648,20576
31,0.0,1,24480,20304
31,0.0,2,22144,22048
31,0.0,3,55720,32272
31,0.0,4,14600,18904
31,0.0,5,20840,22696
32,0.0,1,20096,26728
32,0.0,2,15888,18896
32,0.0,3,26648,27192
32,0.0,4,31432,23360
32,0.0,5,22424,19464
33,0.0,1,42816,26840
33,0.0,2,17664,28048
33,0.0,3,57488,32200
33,0.0,4,19080,22088
33,0.0,5,81800,34184
34,0.0,1,31664,22736
34,0.0,2,24616,27288
34,0.0,3,44088,26120
34,0.0,4,28760,28824
34,0.0,5,18880,24368
35,0.0,1,47200,30648
35,0.0,2,14712,28512
35,0.0,3,41712,29328
35,0.0,4,26272,23192
35,0.0,5,12152,26832
36,0.0,1,29736,28024
36,0.0,2,42224,24784
36,0.0,3,31480,32664
36,0.0,4,20928,25960
36,0.0,5,73752,28184
37,0.0,1,42976,29840
37,0.0,2,18536,29336
37,0.0,3,9272,21392
37,0.0,4,29640,24992
37,0.0,5,29280,22312
38,0.0,1,31560,32304
38,0.0,2,43280,30608
38,0.0,3,51560,28480
38,0.0,4,37392,31288
38,0.0,5,30104,25456
39,0.0,1,47728,31120
39,0.0,2,42920,31320
39,0.0,3,24592,23672
39,0.0,4,26288,28528
39,0.0,5,29656,29568
40,0.0,1,58448,34552
40,0.0,2,24208,27896
40,0.0,3,33712,31208
40,0.0,4,38640,32664
40,0.0,5,22480,27576
41,0.0,1,43760,32456
41,0.0,2,65192,31488
41,0.0,3,38920,31064
41,0.0,4,30816,28456
41,0.0,5,31936,28872
