N,P,X,Cmap,ExecEnv
100,0.0,1,113016,78560
100,0.0,2,75968,77752
100,0.0,3,58232,73760
100,0.0,4,72680,74984
100,0.0,5,87480,79192
200,0.0,1,190280,157832
200,0.0,2,190456,153688
200,0.0,3,190768,151792
200,0.0,4,165136,149120
200,0.0,5,125232,143720
300,0.0,1,328120,231240
300,0.0,2,234056,205536
300,0.0,3,295344,229072
300,0.0,4,346536,227936
300,0.0,5,248160,199448
400,0.0,1,360472,311528
400,0.0,2,356328,289872
400,0.0,3,357832,295688
400,0.0,4,353632,298168
400,0.0,5,333832,278328
500,0.0,1,508904,388096
500,0.0,2,543464,365176
500,0.0,3,431696,379424
500,0.0,4,494560,358336
500,0.0,5,479504,382160
100,0.1,1,81664,79088
100,0.1,2,82928,72792
100,0.1,3,69112,66376
100,0.1,4,78856,71352
100,0.1,5,104792,83264
200,0.1,1,209224,152216
200,0.1,2,153488,147240
200,0.1,3,188160,157296
200,0.1,4,140664,136072
200,0.1,5,263976,166160
300,0.1,1,237864,220792
300,0.1,2,264656,225960
300,0.1,3,258736,206096
300,0.1,4,256072,231920
300,0.1,5,316640,222288
400,0.1,1,388064,293896
400,0.1,2,381032,294280
400,0.1,3,336560,276808
400,0.1,4,328512,278464
400,0.1,5,368712,301568
500,0.1,1,506848,359504
500,0.1,2,458400,356232
500,0.1,3,498376,364088
500,0.1,4,511616,378720
500,0.1,5,453280,351144
100,0.2,1,89040,75624
100,0.2,2,110960,82336
100,0.2,3,81808,77144
100,0.2,4,79688,62992
100,0.2,5,75680,65688
200,0.2,1,228296,158096
200,0.2,2,127184,133920
200,0.2,3,178712,139656
200,0.2,4,208016,145840
200,0.2,5,173824,143224
300,0.2,1,250488,220984
300,0.2,2,254552,209952
300,0.2,3,253992,216960
300,0.2,4,251872,228800
300,0.2,5,279312,229648
400,0.2,1,377080,300384
400,0.2,2,457224,313520
400,0.2,3,319912,297688
400,0.2,4,353400,292896
400,0.2,5,414880,306616
500,0.2,1,534936,382576
500,0.2,2,478256,356376
500,0.2,3,550920,383384
500,0.2,4,515080,381176
500,0.2,5,568016,363296
100,0.3,1,69312,62936
100,0.3,2,100888,80440
100,0.3,3,70064,70272
100,0.3,4,75104,78008
100,0.3,5,81064,75992
200,0.3,1,175592,157832
200,0.3,2,162712,148920
200,0.3,3,167784,154104
200,0.3,4,191576,153496
200,0.3,5,142352,136856
300,0.3,1,279296,225040
300,0.3,2,284960,220896
300,0.3,3,279064,223080
300,0.3,4,277152,223656
300,0.3,5,250376,234288
400,0.3,1,394160,318264
400,0.3,2,368192,285216
400,0.3,3,403800,301736
400,0.3,4,320128,295632
400,0.3,5,485104,311800
500,0.3,1,502280,364360
500,0.3,2,479408,355056
500,0.3,3,418496,364472
500,0.3,4,494024,367344
