N,P,X,Cmap,ExecEnv
100,0.0,1,96048,79416
100,0.0,2,91720,73208
100,0.0,3,63480,76512
100,0.0,4,76384,90808
100,0.0,5,78064,71856
200,0.0,1,162448,141744
200,0.0,2,186744,152888
200,0.0,3,186408,137976
200,0.0,4,163624,145104
200,0.0,5,154232,152712
300,0.0,1,296440,234392
300,0.0,2,248144,219008
300,0.0,3,372480,240784
300,0.0,4,294128,223488
300,0.0,5,252512,218736
400,0.0,1,356280,290232
400,0.0,2,293920,275152
400,0.0,3,370520,303256
400,0.0,4,397560,298672
400,0.0,5,280312,265192
500,0.0,1,501584,384376
500,0.0,2,520328,387968
500,0.0,3,465576,363048
500,0.0,4,564784,384240
500,0.0,5,527512,367840
100,0.1,1,63656,58296
100,0.1,2,82552,74688
100,0.1,3,70800,69464
100,0.1,4,91256,76120
100,0.1,5,99304,73184
200,0.1,1,168792,155208
200,0.1,2,159000,148520
200,0.1,3,133400,145280
200,0.1,4,178688,143896
200,0.1,5,163904,137144
300,0.1,1,314976,230776
300,0.1,2,237600,212568
300,0.1,3,251592,201504
300,0.1,4,255488,215960
300,0.1,5,263200,219000
400,0.1,1,403584,264032
400,0.1,2,413328,291008
400,0.1,3,417008,315280
400,0.1,4,320040,283528
400,0.1,5,387496,296752
500,0.1,1,515128,365280
500,0.1,2,516368,375376
500,0.1,3,478328,367616
500,0.1,4,431416,343328
500,0.1,5,458256,375736
100,0.2,1,90504,69536
100,0.2,2,77448,74296
100,0.2,3,87464,76848
100,0.2,4,130536,72432
100,0.2,5,104880,77208
200,0.2,1,171456,143488
200,0.2,2,156592,151912
200,0.2,3,150448,148744
200,0.2,4,152416,144112
200,0.2,5,184880,149288
300,0.2,1,260264,215320
300,0.2,2,241224,215048
300,0.2,3,306904,227688
300,0.2,4,277408,235896
300,0.2,5,260984,223480
400,0.2,1,369328,291432
400,0.2,2,376312,299544
400,0.2,3,375848,288912
400,0.2,4,402296,306104
400,0.2,5,403032,294088
500,0.2,1,493200,369168
500,0.2,2,444048,356912
500,0.2,3,532536,369704
500,0.2,4,509680,358320
500,0.2,5,464864,354632
100,0.3,1,94784,80080
100,0.3,2,89944,71648
100,0.3,3,67640,76240
100,0.3,4,124104,96576
100,0.3,5,81040,80488
200,0.3,1,235144,154440
200,0.3,2,138736,150248
200,0.3,3,217656,160888
200,0.3,4,183752,144448
200,0.3,5,170536,135216
300,0.3,1,237352,216696
300,0.3,2,269080,215704
300,0.3,3,241096,212408
300,0.3,4,291288,218440
300,0.3,5,324104,227600
400,0.3,1,333728,301384
400,0.3,2,379952,298688
400,0.3,3,373096,298568
400,0.3,4,372456,297624
400,0.3,5,385104,312528
500,0.3,1,464840,370128
500,0.3,2,496760,371208
500,0.3,3,488760,385840
500,0.3,4,494968,355304
500,0.3,5,545352,381160
100,0.4,1,82216,73920
100,0.4,2,86096,65776
100,0.4,3,79232,73464
100,0.4,4,78816,77000
100,0.4,5,57288,66792
200,0.4,1,139112,146872
200,0.4,2,158936,137096
200,0.4,3,165136,140560
200,0.4,4,190752,152368
200,0.4,5,173408,151864
300,0.4,1,285464,238760
300,0.4,2,248000,215352
300,0.4,3,261440,215600
300,0.4,4,256656,212344
300,0.4,5,278304,232592
400,0.4,1,349200,309712
400,0.4,2,355040,307592
400,0.4,3,327064,303040
400,0.4,4,372432,289584
400,0.4,5,346088,290024
500,0.4,1,485152,381032
500,0.4,2,427896,355944
500,0.4,3,560576,392640
500,0.4,4,502416,377696
500,0.4,5,524696,384376
100,0.5,1,93424,69888
100,0.5,2,105344,68840
100,0.5,3,88016,80064
100,0.5,4,64808,70720
100,0.5,5,69120,74704
200,0.5,1,148376,138248
200,0.5,2,198216,142648
200,0.5,3,172232,153096
200,0.5,4,148600,142720
200,0.5,5,207064,163744
300,0.5,1,246744,224032
300,0.5,2,234552,227784
300,0.5,3,222000,215976
300,0.5,4,261224,231280
300,0.5,5,304376,214488
400,0.5,1,435496,324888
400,0.5,2,409288,295728
400,0.5,3,331680,294096
400,0.5,4,378256,304744
400,0.5,5,402904,317496
500,0.5,1,528616,363968
500,0.5,2,474016,372896
500,0.5,3,483880,371448
500,0.5,4,512256,360384
500,0.5,5,528608,380488
100,0.6,1,79216,74672
100,0.6,2,70848,74680
100,0.6,3,102496,86496
100,0.6,4,80984,68584
100,0.6,5,50280,66048
200,0.6,1,191240,156696
200,0.6,2,176000,135504
200,0.6,3,219472,154160
200,0.6,4,158264,143576
200,0.6,5,143856,144104
300,0.6,1,288792,218832
300,0.6,2,298048,233480
300,0.6,3,316264,236568
300,0.6,4,293720,237088
300,0.6,5,281896,222848
400,0.6,1,385832,304680
400,0.6,2,379528,300552
400,0.6,3,352600,292248
400,0.6,4,423792,311928
400,0.6,5,356064,305952
500,0.6,1,461416,369192
500,0.6,2,490480,362312
500,0.6,3,441184,374144
500,0.6,4,491984,360144
500,0.6,5,469656,370592
100,0.7,1,91016,71656
100,0.7,2,79472,75968
100,0.7,3,89720,76088
100,0.7,4,94064,78176
100,0.7,5,106248,80296
200,0.7,1,164216,143120
200,0.7,2,190312,152224
200,0.7,3,181664,150776
200,0.7,4,165424,134344
200,0.7,5,165064,155208
300,0.7,1,292216,218080
300,0.7,2,287240,235104
300,0.7,3,283136,215768
300,0.7,4,285296,234312
300,0.7,5,237128,214032
400,0.7,1,398952,307880
400,0.7,2,378640,304456
400,0.7,3,406424,316192
400,0.7,4,353472,285200
400,0.7,5,359120,302264
500,0.7,1,527448,388272
500,0.7,2,547704,390304
500,0.7,3,502016,356104
500,0.7,4,536512,373592
500,0.7,5,504952,350712
100,0.8,1,70040,70888
100,0.8,2,72424,71616
100,0.8,3,99144,82672
100,0.8,4,79896,74248
100,0.8,5,80632,66240
200,0.8,1,168680,159040
200,0.8,2,197912,162256
200,0.8,3,185064,153568
200,0.8,4,182960,148304
200,0.8,5,188792,156600
300,0.8,1,281464,230224
300,0.8,2,268984,203520
300,0.8,3,232448,204776
300,0.8,4,293752,221608
300,0.8,5,250160,222632
400,0.8,1,380280,289624
400,0.8,2,492720,300832
400,0.8,3,421280,306392
400,0.8,4,376536,284832
400,0.8,5,350312,281928
500,0.8,1,500688,368168
500,0.8,2,515216,372264
500,0.8,3,454240,367848
500,0.8,4,521784,371736
500,0.8,5,508376,366112
100,0.9,1,113440,75864
100,0.9,2,78728,68816
100,0.9,3,102952,80680
100,0.9,4,87208,75680
100,0.9,5,83408,71208
200,0.9,1,177000,152080
200,0.9,2,176368,144232
200,0.9,3,152712,137880
200,0.9,4,233608,157472
200,0.9,5,126944,133160
300,0.9,1,310208,248944
300,0.9,2,266432,213528
300,0.9,3,278320,216544
300,0.9,4,258904,237912
300,0.9,5,290128,224712
400,0.9,1,397424,300712
400,0.9,2,364128,305120
400,0.9,3,340928,287976
400,0.9,4,400584,303304
400,0.9,5,342472,299384
500,0.9,1,544504,368400
500,0.9,2,527920,384648
500,0.9,3,463976,356344
500,0.9,4,505760,373080
500,0.9,5,474528,367624
100,1.0,1,88336,70728
100,1.0,2,95280,79568
100,1.0,3,42544,60056
100,1.0,4,51280,65848
100,1.0,5,63288,67576
200,1.0,1,173640,147432
200,1.0,2,212568,154176
200,1.0,3,133936,135232
200,1.0,4,198096,145752
200,1.0,5,178280,153736
300,1.0,1,266112,233712
300,1.0,2,259032,210136
300,1.0,3,259344,213520
300,1.0,4,296168,208288
300,1.0,5,288064,210592
400,1.0,1,413416,289768
400,1.0,2,377384,285240
400,1.0,3,382944,293064
400,1.0,4,403936,303008
400,1.0,5,409680,316224
500,1.0,1,478496,362768
500,1.0,2,515184,386080
500,1.0,3,470856,361400
500,1.0,4,582360,379216
500,1.0,5,543800,385176
