N,P,X,History
1,0.0,1,2040
1,0.0,2,2040
1,0.0,3,2040
1,0.0,4,2040
1,0.0,5,2040
2,0.0,1,2576
2,0.0,2,2352
2,0.0,3,8056
2,0.0,4,2632
2,0.0,5,4352
3,0.0,1,4240
3,0.0,2,4096
3,0.0,3,5056
3,0.0,4,2928
3,0.0,5,4432
4,0.0,1,5672
4,0.0,2,4040
4,0.0,3,6840
4,0.0,4,3464
4,0.0,5,4352
5,0.0,1,5216
5,0.0,2,5352
5,0.0,3,6496
5,0.0,4,4776
5,0.0,5,6168
6,0.0,1,8664
6,0.0,2,5560
6,0.0,3,3392
6,0.0,4,5000
6,0.0,5,8696
7,0.0,1,6320
7,0.0,2,8696
7,0.0,3,10080
7,0.0,4,6520
7,0.0,5,7648
8,0.0,1,7016
8,0.0,2,7808
8,0.0,3,9024
8,0.0,4,6112
8,0.0,5,9800
9,0.0,1,8712
9,0.0,2,10160
9,0.0,3,9776
9,0.0,4,8632
9,0.0,5,9696
10,0.0,1,11544
10,0.0,2,10632
10,0.0,3,13224
10,0.0,4,7384
10,0.0,5,7208
11,0.0,1,11576
11,0.0,2,13792
11,0.0,3,9640
11,0.0,4,9808
11,0.0,5,8232
12,0.0,1,12272
12,0.0,2,9248
12,0.0,3,11504
12,0.0,4,9472
12,0.0,5,18272
13,0.0,1,12176
13,0.0,2,14152
13,0.0,3,12928
13,0.0,4,12176
13,0.0,5,11280
14,0.0,1,14424
14,0.0,2,10176
14,0.0,3,15264
14,0.0,4,17576
14,0.0,5,10664
15,0.0,1,12360
15,0.0,2,14192
15,0.0,3,11504
15,0.0,4,13808
15,0.0,5,17384
16,0.0,1,12168
16,0.0,2,18576
16,0.0,3,13216
16,0.0,4,15200
16,0.0,5,13488
17,0.0,1,22024
17,0.0,2,15624
17,0.0,3,15960
17,0.0,4,11232
17,0.0,5,14384
18,0.0,1,17488
18,0.0,2,14608
18,0.0,3,18472
18,0.0,4,14752
18,0.0,5,17904
19,0.0,1,14224
19,0.0,2,15184
19,0.0,3,18656
19,0.0,4,19576
19,0.0,5,12080
20,0.0,1,19488
20,0.0,2,15560
20,0.0,3,21256
20,0.0,4,17984
20,0.0,5,20848
21,0.0,1,17728
21,0.0,2,20608
21,0.0,3,17032
21,0.0,4,19504
21,0.0,5,23120
22,0.0,1,22544
22,0.0,2,20104
22,0.0,3,22136
22,0.0,4,22232
22,0.0,5,22704
23,0.0,1,19936
23,0.0,2,17280
23,0.0,3,22640
23,0.0,4,19624
23,0.0,5,20432
24,0.0,1,21576
24,0.0,2,22848
24,0.0,3,28816
24,0.0,4,21048
24,0.0,5,25512
25,0.0,1,26384
25,0.0,2,26952
25,0.0,3,32960
25,0.0,4,24208
25,0.0,5,23608
26,0.0,1,17840
26,0.0,2,25624
26,0.0,3,21872
26,0.0,4,27184
26,0.0,5,18104
27,0.0,1,25560
27,0.0,2,20568
27,0.0,3,27928
27,0.0,4,27040
27,0.0,5,25792
28,0.0,1,27640
28,0.0,2,25872
28,0.0,3,21392
28,0.0,4,23896
28,0.0,5,22552
29,0.0,1,27544
29,0.0,2,27336
29,0.0,3,21656
29,0.0,4,30408
29,0.0,5,23000
30,0.0,1,21408
30,0.0,2,32504
30,0.0,3,24160
30,0.0,4,30680
30,0.0,5,25000
31,0.0,1,24240
31,0.0,2,25256
31,0.0,3,40648
31,0.0,4,22456
31,0.0,5,27536
32,0.0,1,29968
32,0.0,2,24432
32,0.0,3,31704
32,0.0,4,29080
32,0.0,5,24184
33,0.0,1,32744
33,0.0,2,32584
33,0.0,3,38776
33,0.0,4,25656
33,0.0,5,42480
34,0.0,1,25528
34,0.0,2,33584
34,0.0,3,30976
34,0.0,4,34200
34,0.0,5,28648
35,0.0,1,38384
35,0.0,2,32424
35,0.0,3,34200
35,0.0,4,27712
35,0.0,5,29880
36,0.0,1,30792
36,0.0,2,29376
36,0.0,3,38920
36,0.0,4,31048
36,0.0,5,33728
37,0.0,1,36160
37,0.0,2,32176
37,0.0,3,22880
37,0.0,4,31280
37,0.0,5,27648
38,0.0,1,38040
38,0.0,2,37056
38,0.0,3,32944
38,0.0,4,39208
38,0.0,5,31192
39,0.0,1,37408
39,0.0,2,36688
39,0.0,3,29208
39,0.0,4,33600
39,0.0,5,36088
40,0.0,1,40000
40,0.0,2,32888
40,0.0,3,36584
40,0.0,4,40096
40,0.0,5,32768
41,0.0,1,38848
41,0.0,2,37680
41,0.0,3,38384
41,0.0,4,33264
41,0.0,5,34584
42,0.0,1,37672
42,0.0,2,36920
42,0.0,3,33024
42,0.0,4,30416
42,0.0,5,39456
43,0.0,1,36144
43,0.0,2,32456
43,0.0,3,46304
43,0.0,4,47736
43,0.0,5,30688
44,0.0,1,41896
44,0.0,2,41064
44,0.0,3,32216
44,0.0,4,43152
44,0.0,5,44208
45,0.0,1,44808
45,0.0,2,37232
45,0.0,3,34560
45,0.0,4,43680
45,0.0,5,39024
46,0.0,1,33768
46,0.0,2,45832
46,0.0,3,46888
46,0.0,4,36864
46,0.0,5,34344
47,0.0,1,39000
47,0.0,2,39488
47,0.0,3,47752
47,0.0,4,48008
47,0.0,5,42000
48,0.0,1,45448
48,0.0,2,50768
48,0.0,3,46928
48,0.0,4,42872
48,0.0,5,43784
49,0.0,1,38960
49,0.0,2,39432
49,0.0,3,37880
49,0.0,4,46416
49,0.0,5,50112
50,0.0,1,56656
50,0.0,2,51584
50,0.0,3,44664
50,0.0,4,32832
50,0.0,5,43464
51,0.0,1,63008
51,0.0,2,48448
51,0.0,3,40024
51,0.0,4,46104
51,0.0,5,42976
52,0.0,1,43960
52,0.0,2,46104
52,0.0,3,46320
52,0.0,4,55744
52,0.0,5,55880
53,0.0,1,45688
53,0.0,2,46768
53,0.0,3,41248
53,0.0,4,45456
53,0.0,5,44248
54,0.0,1,51624
54,0.0,2,39496
54,0.0,3,49208
54,0.0,4,46776
54,0.0,5,53032
55,0.0,1,42832
55,0.0,2,52704
55,0.0,3,50680
55,0.0,4,55680
55,0.0,5,48816
56,0.0,1,54984
56,0.0,2,55216
56,0.0,3,52040
56,0.0,4,43384
56,0.0,5,54352
57,0.0,1,55688
57,0.0,2,56640
57,0.0,3,51760
57,0.0,4,47832
57,0.0,5,57912
58,0.0,1,44600
58,0.0,2,56192
58,0.0,3,48624
58,0.0,4,55224
58,0.0,5,44296
59,0.0,1,46664
59,0.0,2,52512
59,0.0,3,48968
59,0.0,4,47032
59,0.0,5,45760
60,0.0,1,54352
60,0.0,2,57288
60,0.0,3,47384
60,0.0,4,59024
60,0.0,5,49952
61,0.0,1,53344
61,0.0,2,61920
61,0.0,3,58792
61,0.0,4,62312
61,0.0,5,53888
62,0.0,1,54432
62,0.0,2,56080
62,0.0,3,50584
62,0.0,4,55864
62,0.0,5,58664
63,0.0,1,69144
63,0.0,2,70408
63,0.0,3,72064
63,0.0,4,51960
63,0.0,5,59144
64,0.0,1,53792
64,0.0,2,50752
64,0.0,3,57368
64,0.0,4,62976
64,0.0,5,61344
65,0.0,1,74136
65,0.0,2,65872
65,0.0,3,54568
65,0.0,4,53840
65,0.0,5,60712
66,0.0,1,55120
66,0.0,2,59072
66,0.0,3,60592
66,0.0,4,65888
66,0.0,5,71400
67,0.0,1,55872
67,0.0,2,71552
67,0.0,3,70272
67,0.0,4,54080
67,0.0,5,69968
68,0.0,1,56424
68,0.0,2,62784
68,0.0,3,61768
68,0.0,4,63552
68,0.0,5,62544
69,0.0,1,61904
69,0.0,2,56344
69,0.0,3,70488
69,0.0,4,69064
69,0.0,5,60928
70,0.0,1,62464
70,0.0,2,63624
70,0.0,3,66976
70,0.0,4,66184
70,0.0,5,62392
71,0.0,1,75304
71,0.0,2,54896
71,0.0,3,71032
71,0.0,4,65952
71,0.0,5,65728
72,0.0,1,59768
72,0.0,2,66168
72,0.0,3,59872
72,0.0,4,62648
72,0.0,5,57856
73,0.0,1,63456
73,0.0,2,71760
73,0.0,3,66224
73,0.0,4,63528
73,0.0,5,80216
74,0.0,1,70552
74,0.0,2,59400
74,0.0,3,69536
74,0.0,4,81440
74,0.0,5,65040
75,0.0,1,73304
75,0.0,2,69424
75,0.0,3,60736
75,0.0,4,86608
