N,P,X,History
100,0.0,1,98760
100,0.0,2,92392
100,0.0,3,88104
100,0.0,4,90776
100,0.0,5,99192
200,0.0,1,201928
200,0.0,2,212304
200,0.0,3,200320
200,0.0,4,210856
200,0.0,5,182704
300,0.0,1,362160
300,0.0,2,287936
300,0.0,3,342944
300,0.0,4,344600
300,0.0,5,274256
400,0.0,1,472872
400,0.0,2,395096
400,0.0,3,425624
400,0.0,4,452192
400,0.0,5,420904
500,0.0,1,573440
500,0.0,2,663920
500,0.0,3,531144
500,0.0,4,603696
500,0.0,5,626120
100,0.1,1,101024
100,0.1,2,90520
100,0.1,3,82176
100,0.1,4,85944
100,0.1,5,102528
200,0.1,1,214736
200,0.1,2,188824
200,0.1,3,219864
200,0.1,4,177048
200,0.1,5,213016
300,0.1,1,315448
300,0.1,2,336456
300,0.1,3,290264
300,0.1,4,327448
300,0.1,5,308944
400,0.1,1,431536
400,0.1,2,439976
400,0.1,3,447504
400,0.1,4,424712
400,0.1,5,441872
500,0.1,1,608096
500,0.1,2,595552
500,0.1,3,590920
500,0.1,4,576840
500,0.1,5,536840
100,0.2,1,98440
100,0.2,2,102360
100,0.2,3,96392
100,0.2,4,80256
100,0.2,5,84136
200,0.2,1,221296
200,0.2,2,172712
200,0.2,3,187040
200,0.2,4,197248
200,0.2,5,194760
300,0.2,1,319224
300,0.2,2,301464
300,0.2,3,292872
300,0.2,4,313352
300,0.2,5,324240
400,0.2,1,443480
400,0.2,2,489312
400,0.2,3,448840
400,0.2,4,433008
400,0.2,5,468136
500,0.2,1,625408
500,0.2,2,550400
500,0.2,3,644416
500,0.2,4,597368
500,0.2,5,634600
100,0.3,1,82672
100,0.3,2,101736
100,0.3,3,84392
100,0.3,4,89440
100,0.3,5,92528
200,0.3,1,209400
200,0.3,2,193952
200,0.3,3,208624
200,0.3,4,206840
200,0.3,5,175968
300,0.3,1,301688
300,0.3,2,320616
300,0.3,3,317664
300,0.3,4,319408
300,0.3,5,330216
400,0.3,1,464976
400,0.3,2,456968
400,0.3,3,454448
400,0.3,4,444392
400,0.3,5,492704
500,0.3,1,569688
500,0.3,2,556176
500,0.3,3,570696
500,0.3,4,627968
500,0.3,5,629928
100,0.4,1,94976
100,0.4,2,98608
100,0.4,3,90664
100,0.4,4,87416
100,0.4,5,79456
200,0.4,1,209800
200,0.4,2,205536
200,0.4,3,192584
200,0.4,4,183048
200,0.4,5,184288
300,0.4,1,319536
300,0.4,2,338864
300,0.4,3,315832
300,0.4,4,326664
300,0.4,5,338576
400,0.4,1,451056
400,0.4,2,460904
400,0.4,3,476496
400,0.4,4,432424
400,0.4,5,425240
500,0.4,1,583968
500,0.4,2,558952
500,0.4,3,594080
500,0.4,4,579368
500,0.4,5,626208
100,0.5,1,88408
100,0.5,2,94128
100,0.5,3,102728
100,0.5,4,82888
100,0.5,5,94648
200,0.5,1,179792
200,0.5,2,208792
200,0.5,3,193072
200,0.5,4,211192
200,0.5,5,196528
300,0.5,1,305776
300,0.5,2,309032
300,0.5,3,322232
300,0.5,4,332632
300,0.5,5,346480
400,0.5,1,445680
400,0.5,2,518536
400,0.5,3,464192
400,0.5,4,439592
400,0.5,5,434760
500,0.5,1,641064
500,0.5,2,611256
500,0.5,3,622768
500,0.5,4,617392
500,0.5,5,596816
100,0.6,1,83728
100,0.6,2,87592
100,0.6,3,87400
100,0.6,4,104976
100,0.6,5,84784
200,0.6,1,219800
200,0.6,2,192488
200,0.6,3,208192
200,0.6,4,190592
200,0.6,5,204808
300,0.6,1,347112
300,0.6,2,318696
300,0.6,3,284680
300,0.6,4,327032
300,0.6,5,300128
400,0.6,1,478592
400,0.6,2,429344
400,0.6,3,449448
400,0.6,4,423544
400,0.6,5,469424
500,0.6,1,635608
500,0.6,2,622824
500,0.6,3,565624
500,0.6,4,580912
500,0.6,5,585096
100,0.7,1,82560
100,0.7,2,86728
100,0.7,3,90952
100,0.7,4,88928
100,0.7,5,88968
200,0.7,1,184760
200,0.7,2,167672
200,0.7,3,199192
200,0.7,4,207840
200,0.7,5,192264
300,0.7,1,290216
300,0.7,2,320744
300,0.7,3,354952
300,0.7,4,355424
300,0.7,5,308808
400,0.7,1,486568
400,0.7,2,456808
400,0.7,3,403640
400,0.7,4,448384
400,0.7,5,480520
500,0.7,1,598672
500,0.7,2,540392
500,0.7,3,648768
500,0.7,4,638576
500,0.7,5,676712
100,0.8,1,93592
100,0.8,2,91960
100,0.8,3,93864
100,0.8,4,84816
100,0.8,5,94480
200,0.8,1,189072
200,0.8,2,210128
200,0.8,3,185776
200,0.8,4,170520
200,0.8,5,199240
300,0.8,1,348464
300,0.8,2,318936
300,0.8,3,282688
300,0.8,4,305480
300,0.8,5,345640
400,0.8,1,440560
400,0.8,2,466048
400,0.8,3,487992
400,0.8,4,475904
400,0.8,5,474608
500,0.8,1,601512
500,0.8,2,578176
500,0.8,3,577952
500,0.8,4,634480
500,0.8,5,560552
100,0.9,1,95352
100,0.9,2,90496
100,0.9,3,90880
100,0.9,4,95160
100,0.9,5,97416
200,0.9,1,190600
200,0.9,2,192400
200,0.9,3,200272
200,0.9,4,189008
200,0.9,5,173376
300,0.9,1,328960
300,0.9,2,296240
300,0.9,3,306992
300,0.9,4,309984
300,0.9,5,301832
400,0.9,1,487504
400,0.9,2,478408
400,0.9,3,499936
400,0.9,4,403120
400,0.9,5,490416
500,0.9,1,597936
500,0.9,2,655128
500,0.9,3,585792
500,0.9,4,567984
500,0.9,5,622984
100,1.0,1,96232
100,1.0,2,88496
100,1.0,3,86584
100,1.0,4,81432
100,1.0,5,88968
200,1.0,1,194744
200,1.0,2,187136
200,1.0,3,176912
200,1.0,4,199176
200,1.0,5,204952
300,1.0,1,347480
300,1.0,2,323024
300,1.0,3,336104
300,1.0,4,342800
300,1.0,5,299176
400,1.0,1,472784
400,1.0,2,445568
400,1.0,3,438192
400,1.0,4,472640
400,1.0,5,419744
500,1.0,1,569000
500,1.0,2,671208
500,1.0,3,646112
500,1.0,4,560208
500,1.0,5,624176
