N,P,X,History
100,0.0,1,98672
100,0.0,2,91336
100,0.0,3,88272
100,0.0,4,109808
100,0.0,5,89328
200,0.0,1,186160
200,0.0,2,202832
200,0.0,3,191152
200,0.0,4,203792
200,0.0,5,200944
300,0.0,1,348360
300,0.0,2,313536
300,0.0,3,325728
300,0.0,4,332696
300,0.0,5,308152
400,0.0,1,419888
400,0.0,2,405096
400,0.0,3,461736
400,0.0,4,474096
400,0.0,5,389624
500,0.0,1,596696
500,0.0,2,631328
500,0.0,3,532616
500,0.0,4,662424
500,0.0,5,559664
100,0.1,1,70048
100,0.1,2,93648
100,0.1,3,87160
100,0.1,4,91144
100,0.1,5,90416
200,0.1,1,205936
200,0.1,2,189768
200,0.1,3,184952
200,0.1,4,200488
200,0.1,5,190448
300,0.1,1,334448
300,0.1,2,300352
300,0.1,3,305112
300,0.1,4,292064
300,0.1,5,300568
400,0.1,1,372736
400,0.1,2,430264
400,0.1,3,457528
400,0.1,4,386032
400,0.1,5,453312
500,0.1,1,599560
500,0.1,2,576584
500,0.1,3,585704
500,0.1,4,503712
500,0.1,5,602104
100,0.2,1,84872
100,0.2,2,87768
100,0.2,3,96800
100,0.2,4,93656
100,0.2,5,94480
200,0.2,1,203792
200,0.2,2,202280
200,0.2,3,200760
200,0.2,4,192728
200,0.2,5,203648
300,0.2,1,306936
300,0.2,2,324360
300,0.2,3,337952
300,0.2,4,341440
300,0.2,5,327400
400,0.2,1,462816
400,0.2,2,448128
400,0.2,3,448016
400,0.2,4,491808
400,0.2,5,486832
500,0.2,1,595744
500,0.2,2,577688
500,0.2,3,602584
500,0.2,4,574928
500,0.2,5,583360
100,0.3,1,96040
100,0.3,2,85016
100,0.3,3,96480
100,0.3,4,120848
100,0.3,5,99160
200,0.3,1,201608
200,0.3,2,204568
200,0.3,3,225056
200,0.3,4,182328
200,0.3,5,182304
300,0.3,1,320632
300,0.3,2,312416
300,0.3,3,286176
300,0.3,4,317632
300,0.3,5,330280
400,0.3,1,448240
400,0.3,2,495896
400,0.3,3,426824
400,0.3,4,477480
400,0.3,5,463608
500,0.3,1,544256
500,0.3,2,579632
500,0.3,3,577232
500,0.3,4,601848
500,0.3,5,624864
100,0.4,1,92824
100,0.4,2,82104
100,0.4,3,90048
100,0.4,4,95080
100,0.4,5,78608
200,0.4,1,188272
200,0.4,2,172360
200,0.4,3,185584
200,0.4,4,197176
200,0.4,5,206768
300,0.4,1,348808
300,0.4,2,302384
300,0.4,3,300440
300,0.4,4,303720
300,0.4,5,316872
400,0.4,1,453920
400,0.4,2,452432
400,0.4,3,456352
400,0.4,4,434944
400,0.4,5,447800
500,0.4,1,562304
500,0.4,2,571776
500,0.4,3,661640
500,0.4,4,593008
500,0.4,5,569792
100,0.5,1,88328
100,0.5,2,89536
100,0.5,3,104512
100,0.5,4,87664
100,0.5,5,92784
200,0.5,1,180600
200,0.5,2,194312
200,0.5,3,210704
200,0.5,4,184480
200,0.5,5,223368
300,0.5,1,330544
300,0.5,2,323056
300,0.5,3,294096
300,0.5,4,329120
300,0.5,5,324824
400,0.5,1,518344
400,0.5,2,456728
400,0.5,3,471448
400,0.5,4,442168
400,0.5,5,488784
500,0.5,1,629152
500,0.5,2,580224
500,0.5,3,555280
500,0.5,4,641824
500,0.5,5,580248
100,0.6,1,86888
100,0.6,2,91064
100,0.6,3,107248
100,0.6,4,84576
100,0.6,5,80640
200,0.6,1,211752
200,0.6,2,167448
200,0.6,3,204848
200,0.6,4,187392
200,0.6,5,188960
300,0.6,1,320992
300,0.6,2,365888
300,0.6,3,350584
300,0.6,4,327248
300,0.6,5,336640
400,0.6,1,474112
400,0.6,2,492088
400,0.6,3,419616
400,0.6,4,475320
400,0.6,5,481648
500,0.6,1,576648
500,0.6,2,580440
500,0.6,3,585904
500,0.6,4,618320
500,0.6,5,578008
100,0.7,1,88200
100,0.7,2,93360
100,0.7,3,88752
100,0.7,4,97160
100,0.7,5,105328
200,0.7,1,193704
200,0.7,2,208416
200,0.7,3,210688
200,0.7,4,174096
200,0.7,5,211128
300,0.7,1,332192
300,0.7,2,371072
300,0.7,3,309408
300,0.7,4,344488
300,0.7,5,283936
400,0.7,1,489336
400,0.7,2,453728
400,0.7,3,481560
400,0.7,4,452312
400,0.7,5,453848
500,0.7,1,647816
500,0.7,2,661000
500,0.7,3,590632
500,0.7,4,605448
500,0.7,5,593456
100,0.8,1,88032
100,0.8,2,84768
100,0.8,3,103680
100,0.8,4,92088
100,0.8,5,86376
200,0.8,1,228896
200,0.8,2,209448
200,0.8,3,202688
200,0.8,4,198728
200,0.8,5,203904
300,0.8,1,338760
300,0.8,2,305304
300,0.8,3,302232
300,0.8,4,329336
300,0.8,5,324248
400,0.8,1,433784
400,0.8,2,460976
400,0.8,3,476320
400,0.8,4,456304
400,0.8,5,424256
500,0.8,1,620872
500,0.8,2,603992
500,0.8,3,560528
500,0.8,4,579776
500,0.8,5,623160
100,0.9,1,90384
100,0.9,2,83488
100,0.9,3,103992
100,0.9,4,92576
100,0.9,5,89536
200,0.9,1,199424
200,0.9,2,187392
200,0.9,3,180888
200,0.9,4,199528
200,0.9,5,167032
300,0.9,1,349680
300,0.9,2,290880
300,0.9,3,310704
300,0.9,4,326032
300,0.9,5,322376
400,0.9,1,484096
400,0.9,2,435696
400,0.9,3,429656
400,0.9,4,466840
400,0.9,5,449072
500,0.9,1,583400
500,0.9,2,612368
500,0.9,3,520760
500,0.9,4,604136
500,0.9,5,617416
100,1.0,1,91016
100,1.0,2,102160
100,1.0,3,70672
100,1.0,4,80712
100,1.0,5,82856
200,1.0,1,207696
