N,P,X,Filesize,Cachesize
1,0.0,1,12288,16
1,0.0,2,12288,16
1,0.0,3,12288,16
1,0.0,4,12288,16
1,0.0,5,12288,16
2,0.0,1,12288,3864
2,0.0,2,12288,3640
2,0.0,3,12288,9312
2,0.0,4,12288,3920
2,0.0,5,12288,5640
3,0.0,1,12288,5512
3,0.0,2,12288,5368
3,0.0,3,12288,6344
3,0.0,4,12288,4216
3,0.0,5,12288,5720
4,0.0,1,12288,6960
4,0.0,2,12288,5328
4,0.0,3,12288,8096
4,0.0,4,12288,4752
4,0.0,5,12288,5640
5,0.0,1,12288,6472
5,0.0,2,12288,6640
5,0.0,3,12288,7720
5,0.0,4,12288,6064
5,0.0,5,12288,7456
6,0.0,1,12288,9920
6,0.0,2,12288,6832
6,0.0,3,12288,4664
6,0.0,4,12288,6288
6,0.0,5,12288,9936
7,0.0,1,12288,7576
7,0.0,2,12288,9936
7,0.0,3,12288,11320
7,0.0,4,12288,7776
7,0.0,5,12288,8920
8,0.0,1,12288,8240
8,0.0,2,12288,9064
8,0.0,3,12288,10264
8,0.0,4,12288,7400
8,0.0,5,12288,11056
9,0.0,1,12288,9920
9,0.0,2,12288,11368
9,0.0,3,12288,11032
9,0.0,4,12288,9920
9,0.0,5,12288,10936
10,0.0,1,12288,12784
10,0.0,2,12288,11856
10,0.0,3,12288,14480
10,0.0,4,12288,8672
10,0.0,5,12288,8480
11,0.0,1,12288,12640
11,0.0,2,12288,14848
11,0.0,3,12288,10752
11,0.0,4,12288,10944
11,0.0,5,12288,9376
12,0.0,1,12288,12960
12,0.0,2,12288,9240
12,0.0,3,12288,11952
12,0.0,4,12288,10280
12,0.0,5,12288,17720
13,0.0,1,12288,11464
13,0.0,2,12288,12560
13,0.0,3,12288,12656
13,0.0,4,12288,10976
13,0.0,5,12288,11304
14,0.0,1,12288,14376
14,0.0,2,12288,10528
14,0.0,3,12288,13584
14,0.0,4,12288,14784
14,0.0,5,12288,10320
15,0.0,1,12288,11896
15,0.0,2,12288,13216
15,0.0,3,12288,9896
15,0.0,4,12288,13320
15,0.0,5,12288,13992
16,0.0,1,12288,9136
16,0.0,2,12288,15464
16,0.0,3,12288,11768
16,0.0,4,12288,14408
16,0.0,5,12288,11184
17,0.0,1,12288,15744
17,0.0,2,12288,11688
17,0.0,3,12288,12744
17,0.0,4,12288,9728
17,0.0,5,12288,10744
18,0.0,1,12288,12856
18,0.0,2,12288,10792
18,0.0,3,12288,15192
18,0.0,4,12288,11568
18,0.0,5,12288,15432
19,0.0,1,12288,12336
19,0.0,2,12288,10016
19,0.0,3,12288,14512
19,0.0,4,12288,14944
19,0.0,5,12288,9064
20,0.0,1,12288,15016
20,0.0,2,12288,10448
20,0.0,3,12288,16904
20,0.0,4,12288,13112
20,0.0,5,12288,12792
21,0.0,1,12288,12256
21,0.0,2,12288,17472
21,0.0,3,12288,12960
21,0.0,4,12288,14976
21,0.0,5,12288,14744
22,0.0,1,12288,14904
22,0.0,2,12288,14384
22,0.0,3,12288,17408
22,0.0,4,12288,16088
22,0.0,5,12288,14600
23,0.0,1,12288,11976
23,0.0,2,12288,11816
23,0.0,3,12288,13984
23,0.0,4,12288,12216
23,0.0,5,12288,12360
24,0.0,1,12288,12008
24,0.0,2,12288,15040
24,0.0,3,20480,20808
24,0.0,4,12288,15600
24,0.0,5,20480,16544
25,0.0,1,20480,15784
25,0.0,2,20480,16816
25,0.0,3,20480,20552
25,0.0,4,12288,14304
25,0.0,5,12288,15440
26,0.0,1,12288,12496
26,0.0,2,12288,10928
26,0.0,3,12288,16384
26,0.0,4,12288,14792
26,0.0,5,12288,11600
27,0.0,1,20480,15520
27,0.0,2,12288,13816
27,0.0,3,20480,17856
27,0.0,4,20480,16856
27,0.0,5,20480,14024
28,0.0,1,20480,17688
28,0.0,2,20480,16480
28,0.0,3,12288,12936
28,0.0,4,12288,14320
28,0.0,5,20480,12936
29,0.0,1,20480,12592
29,0.0,2,20480,16648
29,0.0,3,20480,12992
29,0.0,4,20480,19696
29,0.0,5,20480,14720
30,0.0,1,12288,12928
30,0.0,2,20480,18176
30,0.0,3,12288,12792
30,0.0,4,20480,17856
30,0.0,5,20480,14384
31,0.0,1,20480,13456
31,0.0,2,20480,13616
31,0.0,3,20480,21896
31,0.0,4,12288,11952
31,0.0,5,12288,13576
32,0.0,1,20480,17680
32,0.0,2,20480,14824
32,0.0,3,20480,17408
32,0.0,4,20480,15592
32,0.0,5,20480,14568
33,0.0,1,20480,18472
33,0.0,2,20480,14360
33,0.0,3,20480,22792
33,0.0,4,12288,14760
33,0.0,5,24576,24048
34,0.0,1,12288,14312
34,0.0,2,20480,17712
34,0.0,3,20480,16064
34,0.0,4,20480,15896
34,0.0,5,20480,15384
35,0.0,1,20480,19456
35,0.0,2,20480,12576
35,0.0,3,20480,17000
35,0.0,4,20480,12504
35,0.0,5,20480,14104
36,0.0,1,20480,15176
36,0.0,2,20480,17824
36,0.0,3,20480,18280
36,0.0,4,20480,17800
36,0.0,5,20480,19616
37,0.0,1,20480,18984
37,0.0,2,20480,12200
37,0.0,3,12288,10128
37,0.0,4,20480,15344
37,0.0,5,20480,14816
38,0.0,1,20480,16328
38,0.0,2,20480,18304
38,0.0,3,20480,18120
38,0.0,4,20480,15136
38,0.0,5,20480,14384
39,0.0,1,20480,21520
39,0.0,2,20480,19768
39,0.0,3,20480,15688
39,0.0,4,20480,14344
39,0.0,5,20480,15912
40,0.0,1,20480,20704
40,0.0,2,20480,16240
40,0.0,3,20480,15704
40,0.0,4,20480,20416
40,0.0,5,20480,15944
41,0.0,1,20480,18696
41,0.0,2,24576,18616
