N,P,X,Filesize,Cachesize
100,0.0,1,36864,35688
100,0.0,2,28672,22768
100,0.0,3,32768,25632
100,0.0,4,32768,25264
100,0.0,5,32768,28344
200,0.0,1,61440,45776
200,0.0,2,61440,45488
200,0.0,3,73728,46152
200,0.0,4,65536,45952
200,0.0,5,49152,34144
300,0.0,1,102400,66552
300,0.0,2,65536,46024
300,0.0,3,81920,66320
300,0.0,4,106496,72344
300,0.0,5,81920,52864
400,0.0,1,143360,72096
400,0.0,2,126976,63752
400,0.0,3,143360,73376
400,0.0,4,147456,74504
400,0.0,5,126976,61328
500,0.0,1,212992,92744
500,0.0,2,233472,96488
500,0.0,3,184320,73576
500,0.0,4,184320,82368
500,0.0,5,192512,90056
100,0.1,1,32768,34056
100,0.1,2,36864,28024
100,0.1,3,32768,29200
100,0.1,4,32768,29016
100,0.1,5,32768,67232
200,0.1,1,65536,54952
200,0.1,2,57344,42192
200,0.1,3,57344,51464
200,0.1,4,49152,41848
200,0.1,5,73728,202744
300,0.1,1,106496,67552
300,0.1,2,86016,75704
300,0.1,3,86016,133016
300,0.1,4,102400,84520
300,0.1,5,94208,280360
400,0.1,1,126976,94232
400,0.1,2,143360,92512
400,0.1,3,143360,84184
400,0.1,4,131072,270096
400,0.1,5,118784,283072
500,0.1,1,217088,116320
500,0.1,2,167936,103048
500,0.1,3,176128,113984
500,0.1,4,192512,126352
500,0.1,5,172032,161032
100,0.2,1,32768,34800
100,0.2,2,40960,95856
100,0.2,3,32768,29040
100,0.2,4,28672,40672
100,0.2,5,32768,41640
200,0.2,1,73728,124984
200,0.2,2,53248,111624
200,0.2,3,65536,83616
200,0.2,4,61440,80368
200,0.2,5,65536,246888
300,0.2,1,81920,74104
300,0.2,2,106496,81920
300,0.2,3,86016,163000
300,0.2,4,106496,134896
300,0.2,5,106496,228272
400,0.2,1,131072,98128
400,0.2,2,180224,102392
400,0.2,3,139264,136208
400,0.2,4,118784,249616
400,0.2,5,143360,297200
500,0.2,1,233472,125616
500,0.2,2,167936,111776
500,0.2,3,241664,127584
500,0.2,4,221184,460584
500,0.2,5,229376,340768
100,0.3,1,32768,79896
100,0.3,2,36864,38256
100,0.3,3,32768,71944
100,0.3,4,28672,36120
100,0.3,5,32768,81592
200,0.3,1,65536,185056
200,0.3,2,57344,87448
200,0.3,3,65536,152080
200,0.3,4,65536,194504
200,0.3,5,49152,52992
300,0.3,1,106496,278336
300,0.3,2,98304,160696
300,0.3,3,106496,288032
300,0.3,4,98304,237032
300,0.3,5,90112,127552
400,0.3,1,172032,181872
400,0.3,2,135168,138688
400,0.3,3,147456,149608
400,0.3,4,126976,436232
400,0.3,5,147456,191928
500,0.3,1,208896,228584
500,0.3,2,172032,637464
500,0.3,3,180224,370664
500,0.3,4,221184,143208
500,0.3,5,225280,127488
100,0.4,1,32768,96984
100,0.4,2,36864,65816
100,0.4,3,32768,64144
100,0.4,4,28672,93096
100,0.4,5,28672,65544
200,0.4,1,73728,182168
200,0.4,2,69632,270976
200,0.4,3,57344,101304
200,0.4,4,53248,91928
200,0.4,5,53248,105128
300,0.4,1,118784,173608
300,0.4,2,106496,405408
300,0.4,3,118784,95752
300,0.4,4,98304,141160
300,0.4,5,102400,241112
400,0.4,1,122880,284368
400,0.4,2,143360,193632
400,0.4,3,139264,231744
400,0.4,4,131072,291184
400,0.4,5,122880,186592
500,0.4,1,163840,225944
500,0.4,2,217088,164976
500,0.4,3,180224,259912
500,0.4,4,212992,530056
500,0.4,5,233472,291824
100,0.5,1,32768,51512
100,0.5,2,32768,138752
100,0.5,3,40960,230216
100,0.5,4,28672,116544
100,0.5,5,32768,49792
200,0.5,1,49152,86808
200,0.5,2,61440,245064
200,0.5,3,49152,160280
200,0.5,4,65536,73120
200,0.5,5,61440,110496
300,0.5,1,94208,154168
300,0.5,2,98304,151640
300,0.5,3,81920,83888
300,0.5,4,106496,443008
300,0.5,5,102400,202288
400,0.5,1,131072,181720
400,0.5,2,167936,240144
400,0.5,3,131072,174424
400,0.5,4,110592,213440
400,0.5,5,139264,146696
500,0.5,1,258048,404216
500,0.5,2,225280,202864
500,0.5,3,180224,560728
500,0.5,4,188416,109648
500,0.5,5,184320,304016
100,0.6,1,28672,67768
100,0.6,2,28672,82568
100,0.6,3,32768,175856
100,0.6,4,28672,62752
