N,P,X,Filesize
100,0.0,1,32768,27336
100,0.0,2,32768,27912
100,0.0,3,32768,26792
100,0.0,4,32768,30272
100,0.0,5,32768,26464
200,0.0,1,61440,42056
200,0.0,2,57344,46664
200,0.0,3,65536,41776
200,0.0,4,61440,37776
200,0.0,5,57344,44168
300,0.0,1,98304,67432
300,0.0,2,77824,59696
300,0.0,3,110592,71880
300,0.0,4,90112,62760
300,0.0,5,90112,61624
400,0.0,1,139264,74448
400,0.0,2,122880,56352
400,0.0,3,131072,71160
400,0.0,4,143360,76088
400,0.0,5,131072,56960
500,0.0,1,200704,94216
500,0.0,2,200704,89224
500,0.0,3,196608,82704
500,0.0,4,241664,98272
500,0.0,5,204800,88464
100,0.1,1,28672,26424
100,0.1,2,32768,16472
100,0.1,3,28672,23272
100,0.1,4,28672,33064
100,0.1,5,28672,20384
200,0.1,1,45056,15336
200,0.1,2,45056,17032
200,0.1,3,45056,22760
200,0.1,4,49152,55712
200,0.1,5,45056,13808
300,0.1,1,73728,54464
300,0.1,2,61440,17768
300,0.1,3,61440,32928
300,0.1,4,61440,12448
300,0.1,5,65536,65736
400,0.1,1,77824,16760
400,0.1,2,90112,65024
400,0.1,3,86016,15552
400,0.1,4,77824,36760
400,0.1,5,86016,24280
500,0.1,1,102400,13976
500,0.1,2,122880,35016
500,0.1,3,106496,19496
500,0.1,4,106496,18728
500,0.1,5,106496,16048
100,0.2,1,28672,24552
100,0.2,2,28672,45088
100,0.2,3,32768,40272
100,0.2,4,32768,62248
100,0.2,5,28672,16704
200,0.2,1,40960,22128
200,0.2,2,45056,13656
200,0.2,3,45056,35560
200,0.2,4,49152,15904
200,0.2,5,45056,24504
300,0.2,1,57344,26480
300,0.2,2,61440,65544
300,0.2,3,61440,23008
300,0.2,4,61440,28232
300,0.2,5,57344,12616
400,0.2,1,77824,18584
400,0.2,2,81920,64104
400,0.2,3,77824,22432
400,0.2,4,86016,38464
400,0.2,5,86016,45136
500,0.2,1,102400,21696
500,0.2,2,98304,40136
500,0.2,3,106496,23736
500,0.2,4,102400,35008
500,0.2,5,98304,20176
100,0.3,1,28672,25360
100,0.3,2,28672,17448
100,0.3,3,28672,17952
100,0.3,4,32768,25848
100,0.3,5,28672,34552
200,0.3,1,45056,31496
200,0.3,2,40960,20720
200,0.3,3,53248,14512
200,0.3,4,40960,20560
200,0.3,5,40960,28424
300,0.3,1,61440,28440
300,0.3,2,61440,29768
300,0.3,3,57344,42552
300,0.3,4,57344,16224
300,0.3,5,61440,23472
400,0.3,1,77824,18096
400,0.3,2,77824,33744
400,0.3,3,77824,10928
400,0.3,4,77824,24832
400,0.3,5,73728,22912
500,0.3,1,98304,31360
500,0.3,2,102400,36152
500,0.3,3,106496,24096
500,0.3,4,102400,41328
500,0.3,5,98304,19912
100,0.4,1,28672,12008
100,0.4,2,28672,29712
100,0.4,3,28672,29176
100,0.4,4,28672,21992
100,0.4,5,28672,13280
200,0.4,1,40960,28632
200,0.4,2,40960,38408
200,0.4,3,45056,18456
200,0.4,4,45056,29120
200,0.4,5,45056,19064
300,0.4,1,65536,49272
300,0.4,2,61440,12696
300,0.4,3,57344,22504
300,0.4,4,57344,26064
300,0.4,5,61440,26216
400,0.4,1,73728,29120
400,0.4,2,77824,43936
400,0.4,3,73728,28616
400,0.4,4,77824,17080
400,0.4,5,73728,25904
500,0.4,1,98304,28712
500,0.4,2,90112,18928
500,0.4,3,102400,41752
500,0.4,4,102400,39280
500,0.4,5,106496,20640
100,0.5,1,28672,19144
100,0.5,2,28672,30672
100,0.5,3,32768,16616
100,0.5,4,28672,22720
100,0.5,5,28672,17016
200,0.5,1,40960,24008
200,0.5,2,45056,21744
200,0.5,3,45056,44528
200,0.5,4,40960,27032
200,0.5,5,45056,24128
300,0.5,1,57344,46904
300,0.5,2,57344,30064
300,0.5,3,57344,31872
300,0.5,4,61440,15584
300,0.5,5,57344,35888
400,0.5,1,77824,25568
400,0.5,2,73728,14504
400,0.5,3,73728,13792
400,0.5,4,73728,28080
400,0.5,5,77824,18336
500,0.5,1,98304,25176
500,0.5,2,102400,37680
500,0.5,3,98304,47496
500,0.5,4,98304,22520
500,0.5,5,98304,29832
100,0.6,1,28672,25712
100,0.6,2,28672,16184
100,0.6,3,28672,18976
100,0.6,4,28672,21920
100,0.6,5,28672,22144
200,0.6,1,45056,22312
200,0.6,2,40960,24736
200,0.6,3,45056,32360
200,0.6,4,45056,15264
200,0.6,5,40960,16648
300,0.6,1,57344,14336
300,0.6,2,61440,28640
300,0.6,3,61440,22728
300,0.6,4,61440,36912
300,0.6,5,57344,25728
400,0.6,1,77824,17712
400,0.6,2,77824,30920
400,0.6,3,73728,35224
400,0.6,4,77824,25704
400,0.6,5,73728,40608
500,0.6,1,98304,29968
500,0.6,2,94208,25144
500,0.6,3,94208,25080
500,0.6,4,98304,35176
500,0.6,5,94208,19584
100,0.7,1,28672,27856
100,0.7,2,28672,24016
100,0.7,3,28672,21888
100,0.7,4,28672,25264
100,0.7,5,32768,56352
200,0.7,1,40960,15880
200,0.7,2,45056,22208
200,0.7,3,45056,12856
200,0.7,4,40960,36144
200,0.7,5,45056,33016
300,0.7,1,61440,43304
300,0.7,2,61440,17592
300,0.7,3,57344,23688
300,0.7,4,61440,27136
300,0.7,5,57344,25912
400,0.7,1,77824,45832
400,0.7,2,77824,23800
400,0.7,3,77824,34808
400,0.7,4,73728,25624
400,0.7,5,73728,21216
500,0.7,1,102400,25472
500,0.7,2,98304,27328
500,0.7,3,94208,20632
500,0.7,4,98304,20536
500,0.7,5,94208,18048
100,0.8,1,28672,13240
100,0.8,2,28672,26816
100,0.8,3,32768,26720
100,0.8,4,28672,20168
100,0.8,5,28672,17832
200,0.8,1,49152,38360
200,0.8,2,45056,24344
200,0.8,3,45056,24928
200,0.8,4,45056,44088
200,0.8,5,45056,30720
300,0.8,1,61440,28784
300,0.8,2,57344,33328
300,0.8,3,53248,31792
300,0.8,4,57344,26712
300,0.8,5,57344,26840
400,0.8,1,69632,26408
400,0.8,2,77824,38784
400,0.8,3,77824,24536
400,0.8,4,73728,17456
400,0.8,5,69632,17168
500,0.8,1,94208,31368
500,0.8,2,102400,30072
500,0.8,3,94208,30224
500,0.8,4,98304,41448
500,0.8,5,102400,29528
100,0.9,1,28672,36040
100,0.9,2,28672,18936
100,0.9,3,28672,15952
100,0.9,4,28672,33200
100,0.9,5,28672,19368
200,0.9,1,40960,35520
200,0.9,2,45056,25240
200,0.9,3,40960,20920
200,0.9,4,45056,19168
200,0.9,5,40960,21440
300,0.9,1,61440,20848
300,0.9,2,57344,19992
300,0.9,3,53248,17384
300,0.9,4,61440,36728
300,0.9,5,57344,24192
400,0.9,1,73728,18320
400,0.9,2,73728,39768
400,0.9,3,73728,21656
400,0.9,4,77824,22992
400,0.9,5,73728,20248
500,0.9,1,98304,21696
500,0.9,2,98304,16120
500,0.9,3,90112,16816
500,0.9,4,98304,34096
500,0.9,5,94208,13456
100,1.0,1,28672,28168
100,1.0,2,32768,17256
100,1.0,3,24576,11072
100,1.0,4,24576,22648
100,1.0,5,28672,24120
200,1.0,1,40960,25968
200,1.0,2,45056,20640
200,1.0,3,40960,24048
200,1.0,4,40960,32656
200,1.0,5,45056,27208
300,1.0,1,57344,29288
300,1.0,2,61440,16536
300,1.0,3,57344,12280
300,1.0,4,57344,28248
300,1.0,5,57344,17064
400,1.0,1,73728,27720
400,1.0,2,73728,30176
400,1.0,3,73728,13432
400,1.0,4,73728,26216
400,1.0,5,77824,24824
500,1.0,1,94208,26384
500,1.0,2,102400,32640
500,1.0,3,94208,27072
500,1.0,4,98304,26800
500,1.0,5,98304,34200
